GCCSA_CODE_2021,GCCSA_NAME_2021
1RNSW,Rest of NSW
1GSYD,Greater Sydney
19799,Migratory - Offshore - Shipping (NSW)
19499,No usual address (NSW)
2RVIC,Rest of Vic.
2GMEL,Greater Melbourne
29799,Migratory - Offshore - Shipping (Vic.)
29499,No usual address (Vic.)
3GBRI,Greater Brisbane
3RQLD,Rest of Qld
39799,Migratory - Offshore - Shipping (Qld)
39499,No usual address (Qld)
4GADE,Greater Adelaide
4RSAU,Rest of SA
49799,Migratory - Offshore - Shipping (SA)
49499,No usual address (SA)
5RWAU,Rest of WA
5GPER,Greater Perth
59799,Migratory - Offshore - Shipping (WA)
59499,No usual address (WA)
6GHOB,Greater Hobart
6RTAS,Rest of Tas.
69799,Migratory - Offshore - Shipping (Tas.)
69499,No usual address (Tas.)
7GDAR,Greater Darwin
7RNTE,Rest of NT
79799,Migratory - Offshore - Shipping (NT)
79499,No usual address (NT)
8ACTE,Australian Capital Territory
89799,Migratory - Offshore - Shipping (ACT)
89499,No usual address (ACT)
9OTER,Other Territories
99799,Migratory - Offshore - Shipping (OT)
99499,No usual address (OT)
ZZZZZ,Outside Australia
