SA4_CODE_2021,C11_Aus_BP_B_OS,C11_Aus_Fa_O_B_OS,C11_Aus_Mo_O_B_OS,C11_Aus_BP_B_Aus,C11_Aus_Bplace_NS,C11_Aus_Tot_resp,C11_Aus_Ab_BP_B_OS,C11_Aus_Ab_Fa_O_B_OS,C11_Aus_Ab_Mo_O_B_OS,C11_Aus_Ab_BP_B_Aus,C11_Aus_Abor_Bplace_NS,C11_Aus_Abor_Tot_respons,C11_Chi_BP_B_OS,C11_Chi_Fa_O_B_OS,C11_Chi_Mo_O_B_OS,C11_Chi_BP_B_Aus,C11_Chi_Bplace_NS,C11_Chi_Tot_resp,C11_Cro_BP_B_OS,C11_Cro_Fa_O_B_OS,C11_Cro_Mo_O_B_OS,C11_Cro_BP_B_Aus,C11_Cro_Bplace_NS,C11_Cro_Tot_resp,C11_Dut_BP_B_OS,C11_Dut_Fa_O_B_OS,C11_Dut_Mo_O_B_OS,C11_Dut_BP_B_Aus,C11_Dut_Bplace_NS,C11_Dut_Tot_resp,C11_Eng_BP_B_OS,C11_Eng_Fa_O_B_OS,C11_Eng_Mo_O_B_OS,C11_Eng_BP_B_Aus,C11_Eng_Bplace_NS,C11_Eng_Tot_resp,C11_Fil_BP_B_OS,C11_Fil_Fa_O_B_OS,C11_Fil_Mo_O_B_OS,C11_Fil_BP_B_Aus,C11_Fil_Bplace_NS,C11_Fil_Tot_resp,C11_Fre_BP_B_OS,C11_Fre_Fa_O_B_OS,C11_Fre_Mo_O_B_OS,C11_Fre_BP_B_Aus,C11_Fre_Bplace_NS,C11_Fre_Tot_resp,C11_Ger_BP_B_OS,C11_Ger_Fa_O_B_OS,C11_Ger_Mo_O_B_OS,C11_Ger_BP_B_Aus,C11_Ger_Bplace_NS,C11_Ger_Tot_resp,C11_Gre_BP_B_OS,C11_Gre_Fa_O_B_OS,C11_Gre_Mo_O_B_OS,C11_Gre_BP_B_Aus,C11_Gre_Bplace_NS,C11_Gre_Tot_resp,C11_Hun_BP_B_OS,C11_Hun_Fa_O_B_OS,C11_Hun_Mo_O_B_OS,C11_Hun_BP_B_Aus,C11_Hun_Bplace_NS,C11_Hun_Tot_resp,C11_Ind_BP_B_OS,C11_Ind_Fa_O_B_OS,C11_Ind_Mo_O_B_OS,C11_Ind_BP_B_Aus,C11_Ind_Bplace_NS,C11_Ind_Tot_resp,C11_Iri_BP_B_OS,C11_Iri_Fa_O_B_OS,C11_Iri_Mo_O_B_OS,C11_Iri_BP_B_Aus,C11_Iri_Bplace_NS,C11_Iri_Tot_resp,C11_Ita_BP_B_OS,C11_Ita_Fa_O_B_OS,C11_Ita_Mo_O_B_OS,C11_Ita_BP_B_Aus,C11_Ita_Bplace_NS,C11_Ita_Tot_resp,C11_Kor_BP_B_OS,C11_Kor_Fa_O_B_OS,C11_Kor_Mo_O_B_OS,C11_Kor_BP_B_Aus,C11_Kor_Bplace_NS,C11_Kor_Tot_resp,C11_Leb_BP_B_OS,C11_Leb_Fa_O_B_OS,C11_Leb_Mo_O_B_OS,C11_Leb_BP_B_Aus,C11_Leb_Bplace_NS,C11_Leb_Tot_resp,C11_Mac_BP_B_OS,C11_Mac_Fa_O_B_OS,C11_Mac_Mo_O_B_OS,C11_Mac_BP_B_Aus,C11_Mac_Bplace_NS,C11_Mac_Tot_resp,C11_Mal_BP_B_OS,C11_Mal_Fa_O_B_OS,C11_Mal_Mo_O_B_OS,C11_Mal_BP_B_Aus,C11_Mal_Bplace_NS,C11_Mal_Tot_resp,C11_Mao_BP_B_OS,C11_Mao_Fa_O_B_OS,C11_Mao_Mo_O_B_OS,C11_Mao_BP_B_Aus,C11_Mao_Bplace_NS,C11_Mao_Tot_resp,C11_NZ_BP_B_OS,C11_NZ_Fa_O_B_OS,C11_NZ_Mo_O_B_OS,C11_NZ_BP_B_Aus,C11_NZ_Bplace_NS,C11_NZ_Tot_resp,C11_Pol_BP_B_OS,C11_Pol_Fa_O_B_OS,C11_Pol_Mo_O_B_OS,C11_Pol_BP_B_Aus,C11_Pol_Bplace_NS,C11_Pol_Tot_resp,C11_Rus_BP_B_OS,C11_Rus_Fa_O_B_OS,C11_Rus_Mo_O_B_OS,C11_Rus_BP_B_Aus,C11_Rus_Birthplac_ns,C11_Rus_Tot_resp,C11_Sam_BP_B_OS,C11_Sam_Fa_O_B_OS,C11_Sam_Mo_O_B_OS,C11_Sam_BP_B_Aus,C11_Sam_Birthplac_ns,C11_Sam_Tot_resp,C11_Sco_BP_B_OS,C11_Sco_Fa_O_B_OS,C11_Sco_Mo_O_B_OS,C11_Sco_BP_B_Aus,C11_Sco_Birthplac_ns,C11_Sco_Tot_resp,C11_Ser_BP_B_OS,C11_Ser_Fa_O_B_OS,C11_Ser_Mo_O_B_OS,C11_Ser_BP_B_Aus,C11_Ser_Bplace_NS,C11_Ser_Tot_resp,C11_SAf_BP_B_OS,C11_SAf_Fa_O_B_OS,C11_SAf_Mo_O_B_OS,C11_SAf_BP_B_Aus,C11_SAf_Bplace_NS,C11_SAf_Tot_resp,C11_Span_BP_B_OS,C11_Span_Fa_O_B_OS,C11_Span_Mo_O_B_OS,C11_Span_BP_B_Aus,C11_Span_Bplace_NS,C11_Span_Tot_resp,C11_SriL_BP_B_OS,C11_SriL_Fa_O_B_OS,C11_SriL_Mo_O_B_OS,C11_SriL_BP_B_Aus,C11_SriL_Bplace_NS,C11_SriL_Tot_resp,C11_Viet_BP_B_OS,C11_Viet_Fa_O_B_OS,C11_Viet_Mo_O_B_OS,C11_Viet_BP_B_Aus,C11_Viet_Bplace_NS,C11_Viet_Tot_resp,C11_Wel_BP_B_OS,C11_Wel_Fa_O_B_OS,C11_Wel_Mo_O_B_OS,C11_Wel_BP_B_Aus,C11_Wel_Bplace_NS,C11_Wel_Tot_resp,C11_Oth_BP_B_OS,C11_Oth_Fa_O_B_OS,C11_Oth_Mo_O_B_OS,C11_Oth_BP_B_Aus,C11_Oth_Bplace_NS,C11_Oth_Tot_resp,C11_Anc_ns_BP_B_OS,C11_Anc_ns_Fa_O_B_OS,C11_Anc_ns_Mo_O_B_OS,C11_Anc_ns_BP_B_Aus,C11_Anc_ns_Bplace_NS,C11_Anc_NS_Tot_resp,C11_Tot_P_BP_B_OS,C11_Tot_P_Fa_O_B_OS,C11_Tot_P_Mo_O_B_OS,C11_Tot_P_BP_B_Aus,C11_Tot_P_Bplace_NS,C11_Tot_P_Tot_resp,C16_Aus_BP_B_OS,C16_Aus_Fa_O_B_OS
101,775,6579,4826,72793,1881,86854,5,33,17,728,38,821,795,77,70,428,26,1396,715,116,45,204,40,1120,1644,465,375,817,49,3350,11640,5961,4511,59161,1877,83150,678,27,143,18,14,880,306,94,58,480,14,952,2255,635,474,5411,148,8923,635,134,57,436,34,1296,383,96,28,115,14,636,704,48,25,45,14,836,2016,1396,899,22017,473,26801,1834,622,211,1930,113,4710,81,9,10,4,0,104,222,84,22,140,20,488,976,139,47,147,21,1330,472,132,60,286,20,970,372,116,86,79,18,671,633,329,238,123,27,1350,702,138,84,275,28,1227,250,62,31,116,15,474,141,37,6,4,3,191,2923,1583,1192,15173,369,21240,417,52,25,48,12,554,283,50,38,23,0,394,252,36,21,149,8,466,98,16,10,16,0,140,198,16,9,5,5,233,420,156,105,631,14,1326,5275,1054,781,1775,165,9050,572,192,148,3463,10405,14780,32507,12462,8890,139290,14670,207819,966,6816
102,1398,12705,8892,106712,3442,133149,4,60,18,839,31,952,1858,153,185,611,55,2862,539,125,51,170,11,896,2197,672,401,1226,62,4558,23564,11563,8034,84945,3416,131522,1275,80,325,49,30,1759,562,125,104,774,37,1602,2345,778,554,5908,176,9761,909,279,104,692,48,2032,479,116,45,125,10,775,980,129,96,104,42,1351,4366,2526,1484,27555,779,36710,2346,945,334,3215,159,6999,349,8,17,15,10,399,335,119,41,225,33,753,76,19,10,19,4,128,1326,414,169,913,76,2898,1213,328,194,177,49,1961,1387,725,508,234,76,2930,771,166,103,360,19,1419,527,84,69,165,14,859,175,96,39,12,4,326,5417,2739,1873,19628,543,30200,237,34,9,57,9,346,867,140,91,62,10,1170,767,61,79,299,34,1240,141,47,20,28,3,239,170,16,19,9,8,222,795,294,165,820,31,2105,7670,2159,1312,2705,427,14273,1033,448,327,5068,13791,20667,54863,23283,15690,196968,21388,312192,1680,13930
103,455,4666,3523,78564,2178,89386,0,23,8,887,79,997,645,65,58,382,33,1183,197,75,18,73,6,369,923,353,238,715,29,2258,6355,4450,3355,64273,2073,80506,475,18,138,23,18,672,150,51,22,510,13,746,1091,444,302,5071,149,7057,254,103,27,269,11,664,187,57,21,76,3,344,383,21,15,35,3,457,1231,1003,600,22164,569,25567,766,391,162,1648,63,3030,73,7,10,7,5,102,152,67,19,144,5,387,45,7,5,9,0,66,240,102,59,245,14,660,335,123,48,88,30,624,398,224,199,151,39,1011,387,129,46,236,4,802,198,33,25,120,3,379,34,21,5,0,9,69,1687,1187,874,14556,363,18667,91,14,3,21,4,133,269,34,22,29,0,354,145,22,25,122,4,318,88,12,10,3,0,113,96,0,0,0,9,105,253,88,72,543,21,977,3095,721,408,1460,169,5853,383,180,128,4498,10021,15210,17676,9010,6337,149058,14663,196744,548,4972
104,428,3961,2937,48227,1390,56943,0,16,3,848,28,895,449,44,46,295,19,853,98,22,0,38,8,166,927,298,161,436,31,1853,7153,3878,2799,39814,1402,55046,326,15,109,17,12,479,197,54,38,374,15,678,1092,310,239,4005,132,5778,133,85,18,164,11,411,133,32,12,52,7,236,782,54,85,61,41,1023,1207,846,496,13033,359,15941,556,276,94,1240,68,2234,34,0,0,3,0,37,33,17,4,68,3,125,15,3,0,10,0,28,162,55,52,176,5,450,174,76,48,53,11,362,402,199,163,89,19,872,250,71,36,143,4,504,84,39,12,72,0,207,31,13,15,0,0,59,1622,1045,678,10381,239,13965,35,11,0,5,0,51,230,25,24,16,8,303,114,14,27,129,15,299,32,5,0,11,0,48,49,4,3,3,0,59,258,69,40,358,3,728,2877,712,500,1175,124,5388,341,148,84,2359,5256,8188,16896,7567,5402,92386,8348,130599,553,4236
105,175,2134,1492,48893,1454,54148,0,31,3,2712,87,2833,322,25,34,348,22,751,95,18,11,40,3,167,352,129,108,256,5,850,2276,1878,1304,36486,1217,43161,252,3,50,9,12,326,53,33,20,256,16,378,439,182,120,3404,69,4214,144,43,16,190,15,408,73,20,0,36,3,132,262,23,15,57,9,366,489,430,267,11198,238,12622,353,197,50,897,38,1535,28,0,3,0,0,31,65,25,11,98,6,205,16,6,0,3,0,25,125,82,32,227,6,472,155,46,33,45,14,293,172,95,73,70,11,421,125,32,24,110,5,296,59,7,13,31,0,110,25,6,0,5,0,36,658,488,345,7821,175,9487,59,5,0,0,0,64,114,20,17,13,4,168,61,10,6,82,0,159,85,12,5,3,4,109,35,3,4,0,0,42,68,50,15,268,5,406,1256,289,185,724,63,2517,200,76,61,2911,6378,9626,7293,3950,2661,90463,9223,113590,228,2139
106,564,6746,5177,96766,2356,111609,0,22,10,722,22,776,779,76,70,340,20,1285,255,68,8,91,7,429,1228,445,315,885,39,2912,10428,6484,4708,78821,2449,102890,723,36,235,34,23,1051,266,64,42,549,13,934,1509,655,474,7528,177,10343,260,121,28,355,7,771,186,54,32,103,8,383,476,32,20,56,6,590,1856,1149,712,21214,458,25389,760,379,127,1730,64,3060,91,5,8,12,3,119,95,45,16,108,7,271,74,15,15,37,0,141,328,124,71,292,14,829,510,175,80,126,26,917,730,368,267,184,36,1585,804,153,117,522,20,1616,194,38,31,122,0,385,91,44,18,13,5,171,2753,1783,1286,17896,380,24098,93,19,6,8,3,129,450,41,55,25,3,574,194,45,22,220,10,491,59,22,9,11,0,101,75,3,4,3,0,85,482,214,101,890,25,1712,3517,935,681,1891,121,7145,469,212,175,5030,11040,16926,25126,12640,9130,180320,16033,243249,788,7593
107,1641,10903,7781,78645,2366,101336,0,41,39,737,36,853,3967,97,150,383,98,4695,1713,248,108,354,39,2462,2288,774,443,1246,71,4822,20015,9807,7461,58286,2247,97816,1240,67,252,34,67,1660,440,108,80,543,15,1186,3514,1039,691,4970,163,10377,2139,405,208,1032,86,3870,702,129,41,173,17,1062,1238,67,55,57,23,1440,3291,1863,1374,19904,493,26925,7255,1757,756,4369,266,14403,264,6,22,21,6,319,1168,218,139,208,68,1801,6515,670,266,914,236,8601,1543,467,211,851,77,3149,698,189,110,114,34,1145,803,402,261,164,32,1662,1290,255,145,419,35,2144,311,45,33,130,9,528,123,28,15,10,7,183,5364,2579,1944,14373,390,24650,1819,188,71,187,60,2325,419,79,60,16,6,580,1943,269,162,420,61,2855,231,26,19,15,6,297,847,35,20,11,26,939,1154,365,267,826,34,2646,13849,2173,1473,2428,450,20373,1654,432,285,3493,9420,15284,78617,21969,15267,144678,15455,275986,2004,11897
108,544,5864,4251,75946,2372,88977,3,28,19,1811,82,1943,456,64,78,346,35,979,172,41,14,46,5,278,1336,397,204,582,38,2557,11207,5726,4124,64469,2203,87729,441,19,139,10,18,627,259,96,58,554,16,983,1391,476,325,5168,132,7492,222,98,20,307,12,659,188,67,19,81,10,365,286,33,32,61,11,423,1741,1157,742,18909,498,23047,693,380,104,1583,50,2810,36,0,8,0,0,44,67,52,15,159,0,293,28,9,5,16,0,58,410,128,72,304,21,935,200,91,65,99,16,471,576,298,196,111,19,1200,362,95,31,194,16,698,141,31,23,90,3,288,42,13,14,7,0,76,2508,1383,1033,14502,376,19802,50,5,4,18,0,77,265,51,37,26,3,382,149,44,24,206,18,441,46,10,0,5,0,61,76,6,5,0,3,90,337,136,73,482,13,1041,2764,840,522,1606,155,5887,370,198,171,4090,8870,13699,22913,11056,7653,145769,13717,201108,687,6465
109,260,2429,1846,40805,1237,46577,3,6,12,509,28,558,246,27,23,194,14,504,125,44,16,58,12,255,740,219,142,453,22,1576,3692,2427,1769,34934,1063,43885,340,16,75,11,6,448,64,29,10,228,6,337,793,364,201,5668,130,7156,199,69,18,190,14,490,118,32,6,29,4,189,443,18,12,23,7,503,655,540,335,12141,276,13947,812,303,103,1551,64,2833,38,0,0,3,3,44,53,27,13,81,6,180,15,4,6,9,0,34,67,30,10,83,11,201,185,33,33,47,19,317,251,114,102,57,7,531,232,60,32,157,19,500,73,17,7,59,3,159,10,7,6,6,3,32,1005,647,461,9434,177,11724,60,10,0,20,0,90,111,12,13,13,0,149,81,12,8,134,4,239,49,6,5,0,0,60,30,0,3,0,0,33,145,49,42,264,3,503,1874,368,231,892,89,3454,233,85,79,2392,4688,7477,11165,4952,3467,83435,7297,110316,386,2632
110,289,3691,2741,74624,2008,83353,0,31,17,2106,51,2205,741,74,46,493,21,1375,51,20,0,21,0,92,622,254,150,491,18,1535,4572,3429,2519,58027,1851,70398,388,17,77,15,29,526,160,45,35,388,3,631,869,345,228,6298,134,7874,112,48,19,167,6,352,109,32,9,44,0,194,305,19,18,41,6,389,859,675,477,17843,445,20299,351,197,55,1143,41,1787,86,0,3,5,0,94,79,39,12,116,5,251,9,4,0,5,0,18,127,63,27,133,6,356,178,62,60,91,10,401,339,175,147,76,13,750,145,50,31,144,9,379,99,17,18,57,4,195,32,15,13,0,9,69,1221,903,628,14397,334,17483,33,9,0,4,3,49,245,37,29,19,4,334,87,17,15,164,4,287,52,4,3,4,0,63,90,3,0,0,7,100,188,84,54,422,10,758,2533,567,400,1150,121,4771,227,149,95,4139,8430,13040,12643,6800,4888,139300,12566,176197,428,3747
