LGA_CODE_2021,LGA_NAME_2021,Negative_income,Nil_income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)",Partial_income_stated,All_incomes_not_stated,Not_applicable,Total
10050,Albury,81,228,123,347,583,1558,1330,1577,1602,1786,1767,1356,1245,2504,1516,1167,671,340,520,312,230,102,941,546,2990,25430
10180,Armidale Regional,40,125,89,180,288,738,590,832,812,844,852,646,648,1154,663,505,320,156,284,170,136,44,492,228,2137,12955
10250,Ballina,72,196,148,222,428,1301,1063,1375,1400,1478,1463,1022,1001,1939,1214,949,557,295,504,346,270,135,866,477,2183,20889
10300,Balranald,9,7,3,12,21,60,37,48,44,75,50,42,60,86,40,28,24,14,3,14,0,7,49,41,323,1091
10470,Bathurst Regional,58,175,100,185,382,974,744,983,1083,1275,1210,957,903,1841,1254,917,627,341,454,276,184,67,846,344,2290,18458
10500,Bayside (NSW),254,1505,453,740,1392,3036,2012,3117,3219,3946,4297,3804,3647,8139,4992,4743,3082,1759,2939,2117,1875,510,2596,1085,9570,74840
10550,Bega Valley,78,206,151,255,430,1277,925,1332,1211,1348,1284,829,805,1425,820,600,312,151,286,155,87,51,729,418,3709,18867
10600,Bellingen,37,76,53,89,196,461,312,462,447,480,445,302,291,473,298,217,123,45,92,63,30,10,298,150,954,6390
10650,Berrigan,17,53,16,49,89,334,220,347,282,302,278,169,167,293,178,130,60,31,51,27,21,16,163,155,809,4265
10750,Blacktown,431,1676,557,1163,2267,4979,3382,5494,5671,7069,7981,6697,6603,15570,11239,10071,6848,4090,5283,3975,2811,594,5390,2012,12163,133984
10800,Bland,19,33,23,35,65,174,104,165,157,171,154,117,124,249,132,110,52,24,61,24,15,13,163,118,808,3107
10850,Blayney,16,34,22,40,64,167,121,192,186,182,222,156,148,313,218,156,106,52,67,41,37,23,170,70,434,3246
10900,Blue Mountains,93,342,209,373,598,1872,1395,1747,1822,2235,2249,1636,1648,3418,2245,2083,1325,792,1421,906,695,182,1157,419,4367,35239
10950,Bogan,10,12,10,7,26,73,56,60,65,58,66,54,53,96,58,44,30,15,35,16,15,3,71,54,321,1306
11150,Bourke,5,14,8,11,15,50,33,57,55,56,61,36,48,101,45,59,20,12,38,9,9,11,69,66,445,1317
11200,Brewarrina,13,3,13,22,37,45,20,37,43,43,32,17,22,44,18,20,10,4,13,10,0,0,31,30,211,740
11250,Broken Hill,45,98,53,145,256,816,448,588,578,585,549,364,367,682,408,338,212,95,162,70,48,22,380,272,2007,9591
11300,Burwood,39,545,126,193,367,604,495,682,707,872,975,751,715,1680,963,917,595,371,606,494,463,199,660,193,1961,16201
11350,Byron,50,178,94,153,302,783,722,741,829,966,982,738,757,1427,884,701,418,232,511,317,285,163,909,283,3577,16996
11400,Cabonne,34,69,35,60,107,335,214,377,298,353,352,261,251,507,313,291,180,92,146,124,113,45,317,142,886,5895
