SA2_CODE_2021,SA2_NAME_2021,Negative_income,Nil_income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)",Partial_income_stated,All_incomes_not_stated,Not_applicable,Total
101021007,Braidwood,8,20,18,33,54,117,80,125,138,132,142,103,89,187,87,107,56,26,80,43,26,9,95,45,963,2778
101021008,Karabar,10,39,12,34,58,163,91,140,157,177,202,185,178,351,256,255,155,85,149,96,65,14,168,59,341,3451
101021009,Queanbeyan,11,51,22,66,108,277,209,243,273,400,416,369,359,665,330,289,189,123,168,83,82,21,148,67,741,5710
101021010,Queanbeyan - East,4,14,6,25,54,113,68,97,132,180,181,178,179,291,159,151,82,48,97,44,56,11,81,30,286,2589
101021012,Queanbeyan West - Jerrabomberra,10,33,14,9,39,91,82,85,126,149,157,191,230,497,338,406,290,190,378,305,369,101,224,46,290,4624
101021610,Googong,0,5,0,6,0,10,16,19,13,23,39,66,77,224,230,260,223,145,221,120,120,25,69,19,161,2091
101021611,Queanbeyan Surrounds,11,42,20,25,37,103,100,128,166,249,262,235,230,592,397,461,359,251,485,368,377,152,332,55,670,6105
101031013,Bombala,7,12,11,23,32,92,62,72,78,81,86,45,59,92,59,50,24,8,24,16,4,7,38,33,386,1408
101031014,Cooma,13,36,20,36,71,221,149,236,198,217,184,151,145,323,152,161,90,36,88,34,37,12,119,89,564,3396
101031015,Cooma Surrounds,9,21,5,23,39,89,50,85,81,87,99,67,69,136,98,88,46,17,51,36,31,10,88,32,539,1887
101031016,Jindabyne - Berridale,14,35,17,37,64,141,119,149,200,196,225,175,187,423,256,247,128,91,176,124,102,69,197,98,1753,5207
101041017,Batemans Bay,20,43,28,75,110,317,233,375,293,336,361,204,179,332,160,124,49,27,46,31,15,13,133,93,1288,4877
101041018,Batemans Bay - South,16,49,32,47,105,309,213,341,328,365,372,208,214,358,188,148,78,31,91,45,27,17,176,121,1979,5870
101041019,Bega - Tathra,18,49,32,61,100,292,207,299,276,319,303,207,204,387,193,159,94,41,76,45,24,11,166,97,629,4282
101041020,Bega-Eden Hinterland,21,57,48,69,103,347,192,306,307,326,340,214,209,343,215,138,69,41,63,49,23,4,218,88,814,4610
101041021,Broulee - Tomakin,8,16,7,20,38,99,85,117,135,117,162,83,89,136,102,87,48,23,40,33,28,15,77,41,988,2600
101041022,Deua - Wadbilliga,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,20
101041023,Eden,8,23,10,24,56,139,104,133,113,115,118,70,76,112,67,46,22,11,8,9,3,0,84,75,337,1777
101041024,Eurobodalla Hinterland,9,27,12,21,36,98,56,129,115,128,119,73,96,158,71,54,24,15,22,18,13,13,71,42,687,2097
101041025,Merimbula - Tura Beach,23,59,48,72,128,387,328,452,397,472,408,284,270,496,292,215,109,59,116,46,31,29,213,135,1408,6487
101041026,Moruya - Tuross Head,9,44,43,49,113,337,222,393,308,335,315,193,201,337,189,139,69,32,66,27,33,13,149,120,1261,4988
101041027,Narooma - Bermagui,19,57,54,65,141,455,315,469,410,388,382,244,192,332,208,121,69,25,67,45,19,7,204,119,1627,6035
101051539,Goulburn,46,104,72,148,265,783,531,668,644,729,729,562,521,1068,672,503,311,156,239,109,79,27,378,253,1341,10937
101051540,Goulburn Surrounds,38,86,61,74,129,344,226,337,347,355,382,273,269,556,340,289,179,78,177,119,84,60,302,132,1994,7223
101061541,Yass,11,24,13,25,52,140,108,134,167,174,184,172,156,276,196,199,113,61,104,55,37,8,127,57,315,2902
101061542,Yass Surrounds,22,28,23,26,47,117,102,141,150,222,247,202,209,410,307,329,266,162,327,250,279,93,249,57,682,4928
101061543,Young,32,61,31,73,132,412,234,358,367,367,325,219,217,410,212,171,79,44,70,42,30,21,205,160,659,4930
101061544,Young Surrounds,18,33,22,51,105,314,144,274,235,257,223,151,148,263,180,122,48,26,49,28,42,25,173,131,924,4007
102011028,Avoca Beach - Copacabana,6,30,12,12,24,77,76,110,113,146,182,136,139,271,179,202,148,68,211,145,114,56,155,25,1036,3653
102011029,Box Head - MacMasters Beach,21,67,30,28,73,230,227,282,269,285,290,188,229,401,304,283,195,98,238,143,139,73,184,81,1142,5489
102011030,Calga - Kulnura,6,36,14,23,28,77,73,85,104,116,115,75,93,156,121,97,56,36,61,57,61,28,119,30,520,2196
102011031,Erina - Green Point,27,72,53,68,94,400,439,475,363,356,376,238,223,429,354,295,229,142,223,197,147,66,211,148,506,6133
102011032,Gosford - Springfield,36,129,70,169,289,635,546,595,593,720,737,569,556,1090,576,518,265,136,259,171,99,46,324,160,1382,10669
102011033,Kariong,0,25,11,16,31,76,42,91,90,113,129,148,110,289,239,209,105,92,80,44,37,5,84,30,95,2198
102011034,Kincumber - Picketts Valley,16,41,21,33,93,301,171,241,210,220,182,140,124,277,206,186,87,63,98,58,41,12,103,102,324,3354
102011035,Narara,14,36,10,29,37,100,90,135,142,161,173,143,154,331,233,203,124,86,88,64,27,8,110,25,119,2636
102011036,Niagara Park - Lisarow,7,37,19,30,54,129,94,128,139,175,199,162,153,333,244,217,147,97,98,105,59,9,139,31,172,2979
102011037,Point Clare - Koolewong,7,29,19,35,70,169,130,153,162,157,158,128,135,257,218,181,93,66,102,69,54,11,86,41,272,2795
102011038,Saratoga - Davistown,14,29,22,27,47,154,104,176,162,199,204,129,151,280,216,173,118,75,105,85,60,12,101,50,266,2962
102011039,Terrigal - North Avoca,17,70,22,43,83,204,220,235,257,349,383,249,305,552,370,429,270,148,374,288,221,90,272,84,1159,6698
102011040,Umina - Booker Bay - Patonga,55,137,96,140,267,848,693,825,762,820,803,575,533,1019,579,518,271,146,354,186,134,57,356,261,2100,12532
102011041,Wamberal - Forresters Beach,9,49,22,21,42,146,125,186,210,228,218,158,177,356,281,295,204,101,201,172,173,64,187,47,484,4167
102011042,Woy Woy - Blackwall,43,75,52,110,244,621,352,466,458,422,462,347,293,568,344,276,159,85,150,102,71,20,236,202,753,6907
102011043,Wyoming,11,53,32,67,103,380,224,334,296,313,310,237,213,467,375,246,137,87,93,50,36,8,167,93,413,4759
102021044,Bateau Bay - Killarney Vale,22,98,50,94,221,671,392,571,558,646,587,447,442,927,683,545,304,174,208,123,76,15,361,179,849,9257
102021045,Blue Haven - San Remo,11,46,14,29,79,242,164,304,275,317,367,299,248,523,308,193,98,54,51,35,15,4,185,67,382,4302
102021046,Budgewoi - Buff Point - Halekulani,21,59,25,55,107,329,294,350,307,328,317,217,206,405,238,194,90,43,63,30,24,9,168,99,570,4545
102021047,Chittaway Bay - Tumbi Umbi,22,65,31,60,109,322,213,339,335,400,398,334,318,715,495,409,264,133,197,119,90,36,240,94,405,6143
102021048,Gorokan - Kanwal - Charmhaven,42,118,57,113,246,779,489,693,734,754,716,513,482,861,501,345,186,100,116,82,45,14,373,262,1085,9704
102021049,Jilliby - Yarramalong,6,12,6,11,13,28,18,39,36,54,52,38,52,93,107,90,59,37,62,64,51,28,69,20,179,1229
102021050,Lake Munmorah - Mannering Park,19,85,27,47,133,371,459,526,403,366,335,253,210,417,251,150,100,55,66,40,27,6,193,156,568,5264
102021051,Ourimbah - Fountaindale,5,20,11,16,26,70,59,73,93,92,119,103,100,205,146,127,82,55,96,50,30,15,84,37,140,1859
102021052,Summerland Point - Gwandalan,11,46,20,24,55,187,120,218,176,169,214,144,143,286,172,123,77,36,48,32,19,9,119,39,442,2931
102021053,The Entrance,35,111,56,113,260,615,524,577,605,583,566,352,375,641,355,284,164,83,153,86,66,24,255,236,2730,9858
102021054,Toukley - Norah Head,24,56,26,60,151,413,313,362,312,363,320,221,203,334,232,169,108,40,83,49,30,18,184,136,705,4900
102021055,Tuggerah - Kangy Angy,3,26,6,16,36,91,76,115,95,135,145,118,110,256,149,117,74,54,59,36,28,4,95,27,150,2020
102021056,Warnervale - Wadalba,16,73,25,43,81,276,208,381,321,367,393,338,412,815,681,544,323,182,220,154,56,10,322,98,455,6807
102021057,Wyong,18,58,25,47,138,311,198,256,306,294,279,186,176,318,212,142,87,48,60,43,24,10,160,116,417,3920
103011059,Bathurst - East,14,43,27,40,81,213,156,241,251,296,291,263,231,524,384,272,182,106,136,83,46,15,252,73,386,4625
103011060,Bathurst Surrounds,10,30,27,22,53,135,76,141,145,171,146,107,130,245,205,156,123,56,97,77,46,11,153,60,570,2988
103011061,Oberon,11,23,19,29,54,156,88,134,126,134,145,121,113,192,113,93,56,22,39,18,19,8,97,59,661,2532
103011612,Bathurst - South,14,63,30,73,151,368,316,329,405,426,367,276,231,451,218,166,97,37,80,35,28,18,172,123,877,5348
103011613,Bathurst - West,17,42,22,48,108,265,196,278,290,398,412,319,324,638,464,345,232,144,165,104,68,28,286,97,509,5798
103021062,Condobolin,18,40,30,49,66,208,109,195,181,175,157,143,142,219,125,101,37,21,38,16,24,12,140,102,752,3129
103021063,Cowra,21,34,34,77,145,388,238,365,333,336,308,212,160,333,200,101,63,30,60,18,16,19,185,143,604,4428
103021064,Cowra Surrounds,16,41,15,29,78,215,106,241,165,173,180,107,103,221,89,95,47,29,36,14,19,11,134,80,652,2898
103021065,Forbes,33,43,40,47,111,328,188,360,286,333,292,176,192,368,221,187,92,43,99,56,32,23,218,138,799,4711
103021066,Grenfell,13,30,25,24,58,149,90,138,141,131,124,89,62,105,75,43,18,10,23,12,11,10,80,60,339,1865
103021067,Parkes (NSW),21,30,28,66,129,370,220,296,312,315,324,224,235,430,306,227,132,65,121,47,35,15,200,116,773,5031
103021068,Parkes Surrounds,13,18,15,27,37,108,52,101,87,110,91,45,68,120,68,54,18,8,29,13,5,8,75,51,365,1601
103021069,West Wyalong,19,33,23,35,58,174,104,165,157,171,152,113,124,247,132,110,52,24,61,24,15,13,165,118,806,3097
103031070,Lithgow,28,61,61,116,212,620,313,435,427,414,381,283,218,433,247,192,103,56,130,66,46,25,201,172,867,6110
103031071,Lithgow Surrounds,16,53,27,49,87,267,162,247,217,228,230,149,176,342,210,163,87,61,99,54,45,25,189,71,860,4125
103031072,Mudgee,17,60,31,61,116,296,227,295,307,283,304,262,244,618,366,320,166,107,176,148,92,21,225,114,896,5740
103031073,Mudgee Surrounds - East,8,35,19,43,61,219,92,139,124,116,89,74,57,103,64,37,22,7,20,11,4,6,70,66,477,1982
103031074,Mudgee Surrounds - West,31,71,38,59,95,336,160,311,273,285,269,195,205,392,266,218,125,77,122,74,49,26,268,146,1181,5276
103031075,Wollangambe - Wollemi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103041076,Blayney,16,34,22,40,64,167,121,189,186,183,222,156,148,313,218,160,106,52,62,41,39,23,175,70,434,3257
103041077,Orange,25,94,67,109,257,621,459,511,575,635,593,437,432,778,455,373,234,100,218,118,94,39,326,244,1343,9142
103041078,Orange - North,20,76,37,84,153,395,268,414,435,467,509,474,445,1020,746,619,405,219,344,242,157,48,403,129,805,8910
103041079,Orange Surrounds,30,58,29,55,68,230,144,256,225,281,272,224,223,450,310,254,176,98,159,139,109,59,297,102,654,4888
104011080,Grafton,40,87,45,129,284,727,551,701,652,755,628,453,386,714,373,248,141,66,101,59,26,20,339,225,998,8756
104011081,Grafton Surrounds,35,117,50,89,191,483,278,580,519,518,480,315,343,558,332,237,110,59,101,42,32,15,383,150,1309,7327
104011082,Maclean - Yamba - Iluka,35,94,79,127,199,713,520,836,763,738,640,412,411,621,345,245,122,68,122,61,49,33,368,245,1947,9795
104021083,Bellingen,13,30,16,37,82,174,127,173,179,194,190,138,137,235,141,98,62,22,40,33,12,9,131,41,405,2721
104021084,Coffs Harbour - North,30,75,51,136,214,613,521,565,552,620,674,428,393,671,422,268,171,95,132,63,52,33,335,206,910,8214
104021085,Coffs Harbour - South,19,58,28,78,151,358,319,366,316,397,363,261,246,406,200,165,102,50,83,48,36,18,188,155,826,5242
104021086,Coramba - Nana Glen - Bucca,4,14,8,16,43,57,66,77,73,98,105,68,91,186,93,83,42,23,40,17,21,5,112,23,176,1531
104021087,Dorrigo,9,31,16,29,71,164,97,123,131,124,109,72,74,90,56,33,15,0,27,0,9,6,71,58,391,1807
104021088,Korora - Emerald Beach,4,46,27,29,41,164,123,212,205,255,309,204,230,416,292,277,175,74,175,106,95,27,193,50,470,4209
104021089,Sawtell - Boambee,19,74,48,99,201,583,455,675,588,655,637,444,426,822,530,371,203,129,137,112,65,29,360,173,819,8679
104021090,Urunga,11,23,24,36,75,181,127,197,172,191,174,111,105,172,119,89,45,18,33,30,10,6,112,71,342,2481
104021091,Woolgoolga - Arrawarra,25,60,40,69,127,374,380,466,438,481,485,334,301,572,380,259,148,86,88,65,36,31,281,146,799,6462
105011092,Bourke - Brewarrina,13,14,13,23,48,81,49,82,91,86,90,48,63,132,57,73,24,19,48,13,10,8,90,89,613,1902
105011093,Cobar,17,22,12,11,44,119,49,82,82,102,84,81,85,179,94,121,50,40,51,34,25,9,116,73,784,2354
105011094,Coonamble,8,27,16,25,59,130,72,98,106,99,120,85,72,143,73,47,31,14,38,15,5,11,73,71,456,1879
105011095,Nyngan - Warren,20,17,12,26,49,147,96,123,126,127,122,105,101,172,101,83,46,22,55,15,21,14,130,93,558,2393
105011096,Walgett - Lightning Ridge,24,43,19,52,83,224,99,171,175,148,146,76,91,153,88,67,35,19,41,13,8,11,124,82,1020,3035
105021097,Broken Hill,45,98,53,145,256,816,448,588,578,585,549,364,367,682,408,338,212,95,162,70,48,22,380,272,2007,9591
