SA3_CODE_2021,SA3_NAME_2021,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)",Partial income stated,All incomes not stated,Not applicable,Total
10102,Queanbeyan,54,199,92,193,351,874,645,839,1012,1311,1399,1324,1339,2811,1799,1936,1356,866,1579,1050,1095,331,1114,323,3454,27340
10103,Snowy Mountains,42,108,51,117,213,542,371,544,557,579,593,442,460,983,567,539,289,156,343,205,176,103,440,250,3231,11896
10104,South Coast,154,428,319,504,934,2777,1960,3011,2694,2896,2877,1782,1731,2999,1684,1232,632,293,593,341,218,127,1499,935,11032,43643
10105,Goulburn - Mulwaree,82,192,130,224,399,1130,763,1004,986,1084,1110,837,793,1628,1012,792,490,231,413,226,160,87,676,381,3335,18164
10106,Young - Yass,85,150,92,176,338,986,591,911,915,1020,982,741,729,1358,900,819,512,288,544,363,392,142,756,399,2584,16764
10201,Gosford,302,903,490,851,1586,4561,3600,4517,4326,4784,4917,3624,3586,7079,4836,4336,2619,1529,2734,1926,1477,567,2837,1399,10743,80130
10202,Wyong,275,868,380,723,1641,4709,3531,4798,4554,4872,4820,3567,3486,6804,4526,3424,2005,1104,1476,940,588,194,2818,1565,9073,72741
10301,Bathurst,70,201,123,214,446,1139,843,1125,1217,1429,1363,1087,1025,2062,1384,1030,695,374,513,313,208,81,952,415,2999,21283
10302,Lachlan Valley,157,276,207,357,694,1951,1102,1874,1654,1746,1628,1120,1100,2045,1210,918,460,237,469,196,158,94,1199,810,5085,26754
10303,Lithgow - Mudgee,105,285,171,323,578,1737,961,1431,1345,1322,1271,959,912,1890,1149,938,502,315,546,346,246,100,945,574,4283,23223
10304,Orange,96,261,158,286,543,1411,994,1371,1416,1575,1599,1287,1251,2562,1728,1411,922,471,790,546,399,161,1204,540,3236,26200
10401,Clarence Valley,108,291,171,353,668,1922,1343,2120,1936,2010,1754,1176,1147,1894,1050,732,374,196,329,167,109,64,1088,619,4262,25885
10402,Coffs Harbour,141,412,269,533,1008,2668,2210,2848,2669,3012,3044,2058,2011,3572,2227,1644,952,507,761,473,331,155,1793,928,5130,41350
10501,Bourke - Cobar - Coonamble,87,134,73,136,284,704,368,557,583,557,557,397,415,781,410,398,187,104,231,97,74,56,536,409,3442,11564
10502,Broken Hill and Far West,54,130,63,158,288,886,495,654,658,661,613,408,412,771,436,364,234,107,190,77,58,34,442,326,2417,10953
10503,Dubbo,168,317,169,345,681,1935,1159,1787,1799,2034,2031,1514,1492,2995,1765,1328,811,437,678,340,310,139,1598,900,5335,32086
10601,Lower Hunter,152,442,204,395,774,2207,1576,2321,2278,2510,2539,1937,1886,3982,2618,2139,1318,660,1106,709,516,207,1906,758,4792,39949
10602,Maitland,97,306,157,302,570,1755,1240,1890,1932,2148,2234,1820,1827,3961,2697,2199,1313,706,956,703,531,129,1634,535,2546,34184
10603,Port Stephens,156,425,227,360,709,2107,1701,2507,2267,2589,2492,1672,1525,2984,1809,1478,833,431,696,467,309,140,1541,711,7468,37603
10604,Upper Hunter,67,179,83,177,294,791,567,768,717,877,802,611,615,1334,759,741,394,224,393,202,147,56,683,330,2328,14125
10701,Dapto - Port Kembla,142,373,185,449,796,2255,1429,2110,1927,2042,2101,1578,1532,3159,2246,1768,1114,620,761,548,282,105,1147,596,2629,31885
10702,Illawarra Catchment Reserve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10703,Kiama - Shellharbour,113,466,170,422,750,2214,1510,2416,2374,2554,2602,1924,2004,4064,2873,2503,1477,826,1189,872,582,199,1693,651,4174,40618
10704,Wollongong,169,634,355,688,1410,3139,2230,2884,2976,3399,3439,2612,2658,5430,3758,3436,2370,1355,2306,1750,1352,435,2302,833,5675,57598
10801,Great Lakes,94,218,134,250,474,1453,1043,1612,1294,1300,1158,695,673,1100,610,450,246,108,235,122,98,77,652,594,4542,19237
10802,Kempsey - Nambucca,98,290,180,373,693,2046,1405,2089,1856,1765,1701,1070,938,1591,909,648,347,153,266,129,85,71,957,775,3902,24344
10803,Lord Howe Island,0,3,0,5,0,5,11,0,12,20,15,9,16,24,16,6,6,0,0,4,0,0,11,3,76,249
10804,Port Macquarie,147,468,268,489,948,2789,2261,3177,2889,3029,3062,1878,1848,3266,2101,1559,887,479,751,491,344,133,1426,879,4512,40077
10805,Taree - Gloucester,130,325,222,358,796,2248,1483,2333,2044,2109,1997,1223,1168,1949,1088,711,394,196,342,172,126,91,1096,756,3775,27133
10901,Albury,103,276,160,396,665,1859,1504,1886,1864,2090,2074,1562,1456,2921,1789,1388,806,396,593,366,261,116,1176,678,3824,30191
10902,Lower Murray,36,79,39,82,130,349,229,348,351,343,344,244,267,509,258,202,132,62,101,67,33,36,331,206,1530,6313
10903,Upper Murray exc. Albury,104,239,140,279,493,1517,1056,1559,1351,1470,1376,927,893,1635,936,723,372,160,316,160,113,87,893,690,4161,21645
11001,Armidale,50,168,125,247,384,1037,746,1101,1059,1092,1127,843,817,1514,844,649,401,202,348,214,178,61,646,304,2922,17070
11002,Inverell - Tenterfield,135,229,157,339,598,1689,952,1537,1360,1232,1225,779,806,1275,637,450,274,128,197,88,62,63,777,589,3702,19264
11003,Moree - Narrabri,59,115,59,129,211,562,391,540,578,657,587,476,460,965,588,481,272,153,241,144,99,70,525,436,3033,11823
11004,Tamworth - Gunnedah,179,347,227,470,858,2315,1573,2352,2277,2570,2450,1731,1821,3494,2083,1709,897,504,749,504,302,163,1539,994,5696,37810
11101,Lake Macquarie - East,146,611,308,594,1099,3429,2261,3019,3098,3449,3363,2537,2379,5258,3662,3328,2082,1109,1608,1275,938,295,2126,878,4371,53238
11102,Lake Macquarie - West,131,354,205,360,689,2008,1548,2257,2100,2369,2306,1688,1686,3590,2489,1976,1155,620,819,613,365,111,1520,648,3174,34796
11103,Newcastle,203,828,434,888,1759,4381,3080,3849,4263,4736,4869,3875,3765,7895,5125,4755,2964,1673,2652,1908,1573,512,3458,1130,8273,78842
11201,Richmond Valley - Coastal,131,391,276,398,809,2265,1966,2371,2448,2650,2642,1878,1872,3555,2212,1727,1017,553,1042,679,564,305,1865,842,6297,40764
11202,Richmond Valley - Hinterland,108,264,214,439,933,2518,1803,2259,2285,2463,2255,1620,1496,2752,1634,1064,608,291,453,280,181,95,1315,688,4266,32278
11203,Tweed Valley,179,502,305,539,1007,2974,2513,3203,2980,3170,3096,2055,1933,3694,2283,1811,993,515,858,573,361,158,1935,1191,5832,44661
11301,Griffith - Murrumbidgee (West),109,208,117,218,430,1160,695,1091,1177,1344,1401,1039,1101,2094,1251,931,582,280,397,284,156,107,954,498,3105,20723
11302,Tumut - Tumbarumba,26,71,43,85,153,486,307,470,438,445,451,320,312,599,371,263,143,74,121,62,51,31,350,192,1216,7100
11303,Wagga Wagga,153,380,243,514,906,2581,1777,2491,2519,2894,2831,2086,2222,4057,2593,2102,1179,607,885,565,432,230,1942,1018,5380,42591
11401,Shoalhaven,202,648,391,609,1158,3601,2655,3922,3388,3730,3685,2416,2346,4124,2468,1815,1030,537,924,567,438,251,1876,1187,14661,58621
11402,Southern Highlands,84,290,186,249,405,1214,811,1271,1308,1502,1505,1041,1130,2111,1428,1245,703,354,944,639,541,289,985,418,2976,23626
11501,Baulkham Hills,117,664,337,337,445,1417,1218,1728,1799,2159,2454,2032,2097,4919,3675,3912,2981,2032,4052,3553,3621,1263,2128,525,3348,52811
11502,Dural - Wisemans Ferry,36,141,69,83,85,276,211,319,389,447,449,346,381,761,598,587,450,284,590,576,628,349,442,138,837,9469
11503,Hawkesbury,30,98,56,61,116,294,190,369,357,445,510,391,442,1034,724,664,433,299,423,361,276,104,419,131,965,9188
11504,Rouse Hill - McGraths Hill,40,172,66,90,104,331,213,403,430,646,772,656,750,1850,1578,1720,1281,849,1408,1227,1098,254,793,194,1087,18000
11601,Blacktown,201,806,271,586,1094,2323,1428,2379,2435,2931,3272,2723,2664,5940,4111,3415,2261,1289,1512,1189,777,164,2058,816,5143,51787
11602,Blacktown - North,81,370,113,170,320,791,666,1078,1162,1697,2070,1937,2057,5575,4446,4647,3377,2071,3146,2247,1731,333,1667,461,2991,45192
11603,Mount Druitt,152,513,185,421,874,1897,1313,2084,2129,2512,2720,2122,1969,4284,2809,2130,1286,771,697,586,334,97,1720,750,4193,38561
11701,Botany,76,565,162,273,503,1010,590,915,1029,1263,1391,1207,1209,2695,1748,1725,1162,670,1132,803,718,172,952,390,3610,25969
11702,Marrickville - Sydenham - Petersham,56,303,106,202,451,877,597,840,911,1217,1297,1169,1110,2569,1449,1632,1185,692,1568,1114,1305,390,914,240,3230,25414
11703,Sydney Inner City,327,2907,643,1413,2483,3582,2701,3139,3920,5171,5563,5192,5366,13420,5522,7350,4260,2646,9503,4139,5287,2012,3727,1687,25150,127109
11801,Eastern Suburbs - North,150,846,255,428,636,1339,1203,1388,1649,2155,2261,2109,2329,5326,2401,3442,2105,1375,6003,3373,4852,3081,2512,897,10015,62141
11802,Eastern Suburbs - South,173,913,370,669,1223,2196,1456,1901,2039,2601,2665,2254,2432,5624,3254,3614,2386,1496,3837,2719,3418,1369,2339,869,8130,59958
11901,Bankstown,337,1213,372,907,1803,3493,2165,3604,3403,4024,4123,3054,2970,5924,4087,3345,2227,1425,1705,1517,1123,292,2584,1206,6975,63883
11902,Canterbury,257,1185,312,669,1285,2574,1804,3119,2909,3446,3648,2690,2598,4786,3181,2465,1581,969,1241,1027,888,247,2008,920,6666,52469
11903,Hurstville,159,955,350,615,1140,2365,1560,2308,2277,2896,3056,2349,2478,5067,3354,3031,2086,1335,1925,1706,1539,534,1932,759,4899,50678
11904,Kogarah - Rockdale,211,1153,374,579,1071,2512,1760,2703,2736,3357,3594,3171,3016,6796,4045,3782,2405,1415,2294,1666,1468,443,2056,850,7387,60863
12001,Canada Bay,119,653,239,331,566,1208,847,1276,1346,1691,1840,1556,1579,3796,2258,2568,1658,1039,2743,1831,2182,869,1214,447,4206,38037
12002,Leichhardt,51,275,130,221,400,820,556,694,778,983,996,939,958,2235,1128,1514,1004,617,2520,1699,2294,1106,828,237,3492,26473
12003,Strathfield - Burwood - Ashfield,170,1358,394,654,1248,2331,1923,2610,2833,3686,4133,3390,3330,7457,4269,4202,2864,1705,3075,2311,2455,1005,2533,813,8655,69388
