SA4_CODE_2021,SA4_NAME_2021,Negative_income,Nil_income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)",Partial_income_stated,All_incomes_not_stated,Not_applicable,Total
101,Capital Region,411,1071,686,1219,2231,6310,4334,6311,6160,6892,6965,5117,5052,9780,5956,5318,3281,1835,3480,2193,2032,787,4481,2286,23635,117817
102,Central Coast,577,1771,873,1575,3231,9266,7131,9314,8882,9658,9738,7190,7075,13886,9359,7764,4626,2634,4212,2864,2061,762,5652,2963,19813,152870
103,Central West,431,1023,660,1181,2256,6231,3896,5791,5628,6071,5857,4455,4284,8559,5474,4298,2578,1383,2316,1404,1011,440,4303,2334,15599,97464
104,Coffs Harbour - Grafton,248,711,436,880,1678,4589,3557,4968,4602,5022,4799,3230,3153,5468,3283,2379,1326,697,1090,636,441,223,2877,1539,9386,67233
105,Far West and Orana,314,577,309,635,1247,3519,2026,2992,3040,3259,3202,2321,2326,4546,2613,2091,1231,652,1095,517,444,230,2573,1640,11189,54597
106,Hunter Valley exc Newcastle,470,1345,672,1230,2340,6857,5090,7484,7193,8130,8076,6038,5853,12258,7880,6552,3868,2024,3152,2082,1511,524,5773,2330,17137,125866
107,Illawarra,427,1479,717,1557,2955,7607,5169,7403,7274,7992,8149,6113,6195,12652,8881,7706,4959,2795,4257,3172,2219,740,5135,2083,12470,130101
108,Mid North Coast,469,1306,811,1476,2906,8543,6194,9208,8092,8227,7930,4873,4635,7931,4725,3379,1888,941,1597,916,658,377,4149,3000,16811,111041
109,Murray,239,594,335,756,1291,3725,2781,3793,3570,3901,3798,2733,2623,5064,2986,2311,1304,622,1007,590,405,240,2398,1569,9517,58148
110,New England and North West,427,852,573,1185,2047,5595,3669,5530,5272,5552,5387,3828,3909,7251,4145,3292,1841,983,1541,942,642,351,3482,2322,15354,85964
111,Newcastle and Lake Macquarie,478,1790,949,1837,3548,9828,6885,9131,9463,10556,10540,8104,7840,16747,11279,10055,6201,3401,5080,3796,2879,917,7103,2660,15818,166881
112,Richmond - Tweed,416,1161,787,1380,2752,7756,6279,7830,7710,8292,7996,5545,5303,10003,6133,4606,2623,1360,2348,1538,1096,554,5112,2723,16389,117704
113,Riverina,282,659,407,817,1489,4229,2778,4048,4131,4685,4685,3451,3644,6752,4220,3295,1900,960,1400,917,642,369,3251,1701,9705,70414
114,Southern Highlands and Shoalhaven,285,940,573,860,1555,4823,3469,5196,4694,5238,5189,3457,3476,6240,3894,3059,1733,891,1863,1211,974,539,2855,1606,17631,82250
115,Sydney - Baulkham Hills and Hawkesbury,215,1070,521,570,759,2316,1831,2826,2967,3692,4185,3422,3665,8572,6577,6885,5146,3457,6472,5717,5619,1975,3787,983,6230,89466
116,Sydney - Blacktown,435,1693,560,1173,2291,5015,3415,5538,5724,7139,8062,6775,6691,15794,11367,10192,6925,4139,5356,4019,2840,599,5441,2030,12322,135540
117,Sydney - City and Inner South,460,3767,906,1883,3444,5465,3884,4896,5859,7651,8248,7569,7684,18685,8725,10708,6603,4012,12204,6061,7305,2575,5589,2320,31986,178493
118,Sydney - Eastern Suburbs,323,1759,627,1096,1855,3535,2661,3278,3694,4758,4928,4364,4764,10948,5662,7051,4492,2869,9840,6095,8267,4448,4858,1768,18152,122105
119,Sydney - Inner South West,963,4511,1411,2770,5295,10941,7287,11735,11326,13712,14424,11256,11067,22573,14673,12626,8308,5140,7168,5919,5020,1512,8585,3736,25927,227887
120,Sydney - Inner West,342,2286,766,1210,2210,4359,3319,4577,4946,6359,6969,5883,5863,13483,7653,8285,5526,3360,8338,5834,6932,2981,4580,1498,16353,133899
121,Sydney - North Sydney and Hornsby,393,2635,1019,1439,2037,4316,3952,4954,5554,7512,8116,7404,7471,17524,9181,11387,7287,4522,15841,10503,13163,6689,6257,1851,19525,180531
122,Sydney - Northern Beaches,265,1099,574,792,1223,3141,2607,3363,3528,4560,4779,4093,4244,9375,6165,6718,4599,2970,8156,6699,7396,3190,4214,1349,10028,105115
123,Sydney - Outer South West,361,1199,457,960,1835,4409,3228,4987,5345,6328,6776,5694,5540,12025,8611,7092,4538,2693,3264,2631,1847,561,4302,1644,8107,104420
124,Sydney - Outer West and Blue Mountains,457,1410,633,1232,2261,5882,4454,6190,6639,8020,8567,6924,6885,14454,9957,8437,5457,3062,4206,3115,2176,611,4850,1897,13047,130809
125,Sydney - Parramatta,805,3393,1002,2202,4060,7601,5303,8328,8679,10942,11642,9646,9159,19891,12281,10937,7165,4306,6383,4501,3497,971,7085,2923,25360,188066
126,Sydney - Ryde,234,1582,551,837,1317,2609,2163,2894,3251,4222,4586,3841,3740,8766,5137,5232,3694,2126,4792,3661,3990,1530,2822,945,8880,83400
127,Sydney - South West,797,2922,808,1768,3499,6975,4750,8829,8673,9962,10215,8075,7917,15677,11376,9089,6074,3736,4073,3590,2494,705,6185,2692,15029,155905
128,Sydney - Sutherland,252,1019,549,757,1269,3532,2469,3421,3644,4604,4887,3921,4027,9076,6328,6617,4774,2910,5109,4455,4047,1335,3390,1068,7323,90775
197,Migratory - Offshore - Shipping (NSW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,34
201,Ballarat,295,758,465,957,1912,5474,3747,5125,5108,5609,5452,4051,3888,6977,4380,3429,1927,971,1689,1068,763,330,2982,1722,11302,80382
202,Bendigo,246,707,476,886,1674,4774,3352,4749,4825,5167,5093,3844,3663,7030,4413,3532,2015,992,1625,1032,761,290,2923,1480,9983,75532
203,Geelong,449,1476,822,1438,2663,7412,5929,7739,7925,9061,9118,7051,6686,14004,9319,8150,4870,2629,4448,2920,2197,860,5593,2551,24824,150145
204,Hume,337,849,545,965,1967,5488,3765,5571,5423,5994,5779,4197,4089,7944,4760,3548,2029,958,1640,929,716,379,3608,2125,15708,89320
205,Latrobe - Gippsland,629,1776,1028,1923,3617,10008,6909,9883,9625,9747,9379,6435,6565,11585,6832,5313,2769,1488,2737,1593,970,518,5647,3658,35493,156136
206,Melbourne - Inner,889,6922,2098,4167,6878,10972,8977,10831,13008,17597,18571,16976,16128,34970,16184,18577,11299,6535,19430,10691,12062,4702,10551,4150,76410,359562
