GCCSA_CODE_2021,C11_Aus_BP_B_OS,C11_Aus_Fa_O_B_OS,C11_Aus_Mo_O_B_OS,C11_Aus_BP_B_Aus,C11_Aus_Bplace_NS,C11_Aus_Tot_resp,C11_Aus_Ab_BP_B_OS,C11_Aus_Ab_Fa_O_B_OS,C11_Aus_Ab_Mo_O_B_OS,C11_Aus_Ab_BP_B_Aus,C11_Aus_Abor_Bplace_NS,C11_Aus_Abor_Tot_respons,C11_Chi_BP_B_OS,C11_Chi_Fa_O_B_OS,C11_Chi_Mo_O_B_OS,C11_Chi_BP_B_Aus,C11_Chi_Bplace_NS,C11_Chi_Tot_resp,C11_Cro_BP_B_OS,C11_Cro_Fa_O_B_OS,C11_Cro_Mo_O_B_OS,C11_Cro_BP_B_Aus,C11_Cro_Bplace_NS,C11_Cro_Tot_resp,C11_Dut_BP_B_OS,C11_Dut_Fa_O_B_OS,C11_Dut_Mo_O_B_OS,C11_Dut_BP_B_Aus,C11_Dut_Bplace_NS,C11_Dut_Tot_resp,C11_Eng_BP_B_OS,C11_Eng_Fa_O_B_OS,C11_Eng_Mo_O_B_OS,C11_Eng_BP_B_Aus,C11_Eng_Bplace_NS,C11_Eng_Tot_resp,C11_Fil_BP_B_OS,C11_Fil_Fa_O_B_OS,C11_Fil_Mo_O_B_OS,C11_Fil_BP_B_Aus,C11_Fil_Bplace_NS,C11_Fil_Tot_resp,C11_Fre_BP_B_OS,C11_Fre_Fa_O_B_OS,C11_Fre_Mo_O_B_OS,C11_Fre_BP_B_Aus,C11_Fre_Bplace_NS,C11_Fre_Tot_resp,C11_Ger_BP_B_OS,C11_Ger_Fa_O_B_OS,C11_Ger_Mo_O_B_OS,C11_Ger_BP_B_Aus,C11_Ger_Bplace_NS,C11_Ger_Tot_resp,C11_Gre_BP_B_OS,C11_Gre_Fa_O_B_OS,C11_Gre_Mo_O_B_OS,C11_Gre_BP_B_Aus,C11_Gre_Bplace_NS,C11_Gre_Tot_resp,C11_Hun_BP_B_OS,C11_Hun_Fa_O_B_OS,C11_Hun_Mo_O_B_OS,C11_Hun_BP_B_Aus,C11_Hun_Bplace_NS,C11_Hun_Tot_resp,C11_Ind_BP_B_OS,C11_Ind_Fa_O_B_OS,C11_Ind_Mo_O_B_OS,C11_Ind_BP_B_Aus,C11_Ind_Bplace_NS,C11_Ind_Tot_resp,C11_Iri_BP_B_OS,C11_Iri_Fa_O_B_OS,C11_Iri_Mo_O_B_OS,C11_Iri_BP_B_Aus,C11_Iri_Bplace_NS,C11_Iri_Tot_resp,C11_Ita_BP_B_OS,C11_Ita_Fa_O_B_OS,C11_Ita_Mo_O_B_OS,C11_Ita_BP_B_Aus,C11_Ita_Bplace_NS,C11_Ita_Tot_resp,C11_Kor_BP_B_OS,C11_Kor_Fa_O_B_OS,C11_Kor_Mo_O_B_OS,C11_Kor_BP_B_Aus,C11_Kor_Bplace_NS,C11_Kor_Tot_resp,C11_Leb_BP_B_OS,C11_Leb_Fa_O_B_OS,C11_Leb_Mo_O_B_OS,C11_Leb_BP_B_Aus,C11_Leb_Bplace_NS,C11_Leb_Tot_resp,C11_Mac_BP_B_OS,C11_Mac_Fa_O_B_OS,C11_Mac_Mo_O_B_OS,C11_Mac_BP_B_Aus,C11_Mac_Bplace_NS,C11_Mac_Tot_resp,C11_Mal_BP_B_OS,C11_Mal_Fa_O_B_OS,C11_Mal_Mo_O_B_OS,C11_Mal_BP_B_Aus,C11_Mal_Bplace_NS,C11_Mal_Tot_resp,C11_Mao_BP_B_OS,C11_Mao_Fa_O_B_OS,C11_Mao_Mo_O_B_OS,C11_Mao_BP_B_Aus,C11_Mao_Bplace_NS,C11_Mao_Tot_resp,C11_NZ_BP_B_OS,C11_NZ_Fa_O_B_OS,C11_NZ_Mo_O_B_OS,C11_NZ_BP_B_Aus,C11_NZ_Bplace_NS,C11_NZ_Tot_resp,C11_Pol_BP_B_OS,C11_Pol_Fa_O_B_OS,C11_Pol_Mo_O_B_OS,C11_Pol_BP_B_Aus,C11_Pol_Bplace_NS,C11_Pol_Tot_resp,C11_Rus_BP_B_OS,C11_Rus_Fa_O_B_OS,C11_Rus_Mo_O_B_OS,C11_Rus_BP_B_Aus,C11_Rus_Birthplac_ns,C11_Rus_Tot_resp,C11_Sam_BP_B_OS,C11_Sam_Fa_O_B_OS,C11_Sam_Mo_O_B_OS,C11_Sam_BP_B_Aus,C11_Sam_Birthplac_ns,C11_Sam_Tot_resp,C11_Sco_BP_B_OS,C11_Sco_Fa_O_B_OS,C11_Sco_Mo_O_B_OS,C11_Sco_BP_B_Aus,C11_Sco_Birthplac_ns,C11_Sco_Tot_resp,C11_Ser_BP_B_OS,C11_Ser_Fa_O_B_OS,C11_Ser_Mo_O_B_OS,C11_Ser_BP_B_Aus,C11_Ser_Bplace_NS,C11_Ser_Tot_resp,C11_SAf_BP_B_OS,C11_SAf_Fa_O_B_OS,C11_SAf_Mo_O_B_OS,C11_SAf_BP_B_Aus,C11_SAf_Bplace_NS,C11_SAf_Tot_resp,C11_Span_BP_B_OS,C11_Span_Fa_O_B_OS,C11_Span_Mo_O_B_OS,C11_Span_BP_B_Aus,C11_Span_Bplace_NS,C11_Span_Tot_resp,C11_SriL_BP_B_OS,C11_SriL_Fa_O_B_OS,C11_SriL_Mo_O_B_OS,C11_SriL_BP_B_Aus,C11_SriL_Bplace_NS,C11_SriL_Tot_resp,C11_Viet_BP_B_OS,C11_Viet_Fa_O_B_OS,C11_Viet_Mo_O_B_OS,C11_Viet_BP_B_Aus,C11_Viet_Bplace_NS,C11_Viet_Tot_resp,C11_Wel_BP_B_OS,C11_Wel_Fa_O_B_OS,C11_Wel_Mo_O_B_OS,C11_Wel_BP_B_Aus,C11_Wel_Bplace_NS,C11_Wel_Tot_resp,C11_Oth_BP_B_OS,C11_Oth_Fa_O_B_OS,C11_Oth_Mo_O_B_OS,C11_Oth_BP_B_Aus,C11_Oth_Bplace_NS,C11_Oth_Tot_resp,C11_Anc_ns_BP_B_OS,C11_Anc_ns_Fa_O_B_OS,C11_Anc_ns_Mo_O_B_OS,C11_Anc_ns_BP_B_Aus,C11_Anc_ns_Bplace_NS,C11_Anc_NS_Tot_resp,C11_Tot_P_BP_B_OS,C11_Tot_P_Fa_O_B_OS,C11_Tot_P_Mo_O_B_OS,C11_Tot_P_BP_B_Aus,C11_Tot_P_Bplace_NS,C11_Tot_P_Tot_resp,C16_Aus_BP_B_OS,C16_Aus_Fa_O_B_OS
1GSYD,45232,138655,98398,822708,25306,1130299,49,568,260,6543,320,7740,330438,5306,7666,7999,6655,358064,25369,3065,1531,4870,666,35501,22967,7229,4192,9476,636,44500,281348,111603,77271,636221,25666,1132109,74578,1420,4948,636,2009,83591,14279,2146,1581,6836,442,25284,39645,10102,6790,51271,1839,109647,69273,10731,4911,25490,2447,112852,12693,2163,1008,2116,263,18243,121090,2219,1680,1109,2351,128449,64620,27666,18409,248133,6632,365460,95807,23285,9455,51685,3717,183949,47419,234,731,325,1032,49741,100104,16180,6362,14251,4572,141469,18717,1785,846,2265,605,24218,28645,6873,3582,13933,1024,54057,18325,2437,1530,971,813,24076,21681,6412,4768,2038,650,35549,23854,3200,2106,4989,551,34700,17337,1447,1188,2480,360,22812,16454,1513,554,227,831,19579,61346,26272,18516,166297,4562,276993,19044,1441,709,1308,503,23005,21246,2162,1474,557,348,25787,24964,1706,1408,2604,740,31422,15701,690,478,332,323,17524,74686,685,1114,508,2417,79410,8828,2563,1586,7791,306,21074,485712,37262,26295,32529,13852,595650,45126,4920,3847,32194,220351,306438,2014006,289889,194396,1580457,312922,4391670,60419,150269
1RNSW,8032,74204,54192,920632,25926,1082986,17,356,194,14646,599,15812,12983,914,985,4707,426,20015,4666,906,314,1270,163,7319,14987,5092,3254,8959,481,32773,121283,69868,50483,749608,24726,1015968,7413,309,1999,274,284,10279,3151,920,577,5909,193,10750,19843,7041,4657,71917,1890,105348,6204,1799,637,5029,301,13970,3099,783,269,1064,91,5306,8265,545,448,668,197,10123,21272,14581,9517,243255,5898,294523,22332,7673,2659,27998,1268,61930,1497,52,106,130,42,1827,2345,779,317,1699,154,5294,9590,1138,434,1587,327,13076,4695,1589,802,3491,213,10790,4370,1429,878,1102,263,8042,6980,3497,2664,1574,347,15062,7056,1552,943,3613,230,13394,2300,487,366,1248,76,4477,1332,377,136,97,112,2054,30926,18408,13348,183563,4309,250554,3263,371,154,413,94,4295,3847,647,469,308,62,5333,4079,643,428,2376,172,7698,1155,172,119,124,27,1597,2032,121,123,42,61,2379,5061,1962,1195,7937,224,16379,57539,12457,8417,20933,2353,101699,6673,2629,1943,47420,110777,169442,346368,143262,99675,1756244,167405,2512954,10224,79932
19499,81,371,238,3022,118,3830,0,5,3,116,9,133,347,10,8,19,10,394,29,3,0,0,0,32,101,19,16,19,0,155,889,301,232,2155,107,3684,58,0,9,0,0,67,45,8,3,20,9,85,126,35,24,237,5,427,48,12,4,17,3,84,18,11,5,3,3,40,104,0,3,4,4,115,255,82,53,800,26,1216,107,33,20,96,16,272,52,0,0,0,0,52,71,24,7,13,5,120,12,0,4,0,0,16,31,12,8,16,0,67,68,7,3,4,5,87,82,17,17,8,3,127,40,14,5,10,0,69,31,6,3,6,0,46,47,0,4,0,3,54,228,69,72,559,21,949,15,0,0,0,0,15,38,0,3,0,0,41,44,6,5,14,3,72,11,0,0,0,0,11,93,0,0,0,3,96,40,6,8,37,4,95,770,98,72,126,36,1102,81,7,9,148,2555,2800,3365,688,512,5471,2882,12918,69,302
19799,3,0,3,27,0,33,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,22,5,3,13,0,43,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,7,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,4,4,8,54,4,7,41,3,109,8,19
2GMEL,32253,124343,88335,787105,21956,1053992,32,184,102,2158,116,2592,226074,3445,5047,5648,4425,244639,25400,2984,1314,4126,636,34460,32672,10527,5945,15273,910,65327,246261,103068,73916,628759,23428,1075432,39591,648,3165,392,1053,44849,11349,1757,1183,6644,351,21284,41193,11929,7469,59018,2098,121707,101304,13483,5992,30117,3354,154250,12795,2028,1060,2471,341,18695,118697,2421,1734,1089,2132,126073,52747,25798,16888,249698,6225,351356,150770,31251,13113,78009,5968,279111,10701,79,227,149,205,11361,28303,4457,1841,3243,1268,39112,29829,3040,1405,4414,933,39621,36790,7136,4051,13106,1267,62350,12172,1288,996,455,464,15375,17212,5056,3816,1322,516,27922,30829,4300,2763,6916,730,45538,14980,1298,999,2044,298,19619,8727,476,257,74,459,9993,59078,25351,18877,181092,4618,289016,16641,1204,607,1124,417,19993,14283,1519,1177,424,233,17636,13078,1205,978,2411,438,18110,32349,1977,1161,968,625,37080,74606,717,1080,466,2481,79350,7019,2134,1433,7367,230,18183,376978,31725,21937,32959,11666,475265,41292,4750,3488,34092,172592,256214,1719323,268513,179812,1578235,254102,3999985,47129,136633
2RVIC,4115,37042,25974,470227,12683,550041,8,80,45,2050,129,2312,5968,377,416,2668,213,9642,4370,721,284,1153,151,6679,13911,4833,2914,8872,437,30967,60506,35631,25686,402646,12699,537168,3967,107,830,97,174,5175,1337,368,263,3113,108,5189,11442,4004,2587,42547,1125,61705,3652,981,285,2377,153,7448,2015,420,170,621,50,3276,5260,305,177,306,114,6162,11318,8256,5062,141871,3358,169865,17774,5276,1842,22722,978,48592,326,11,24,40,10,411,420,176,49,405,21,1071,1651,235,89,414,55,2444,3235,1071,436,1998,135,6875,1677,469,328,367,104,2945,3153,1533,1130,569,133,6518,4153,865,443,2006,129,7596,1159,220,142,526,49,2096,490,80,36,23,32,661,15877,9497,6881,112491,2612,147358,1514,197,83,216,47,2057,1575,258,242,178,28,2281,1309,268,196,1208,78,3059,983,146,95,105,39,1368,1161,36,59,20,47,1323,2056,747,482,3664,109,7058,30129,5708,3687,11739,1397,52660,4303,1445,1034,26781,54909,88472,189815,74557,50148,946742,84449,1345711,5779,40216
29499,52,229,169,1643,87,2180,0,3,0,31,0,34,276,5,11,20,5,317,21,4,3,9,0,37,76,20,17,33,6,152,568,203,170,1311,55,2307,31,0,0,3,0,34,31,4,7,16,0,58,93,28,22,132,4,279,54,6,0,20,0,80,17,4,0,5,0,26,120,7,0,3,4,134,202,44,34,501,18,799,107,43,13,84,13,260,15,0,0,0,0,15,39,3,7,3,0,52,15,0,0,3,0,18,16,11,3,14,0,44,41,0,3,5,0,49,66,10,10,3,5,94,44,7,4,18,0,73,11,4,0,6,0,21,11,0,0,0,0,11,138,34,37,384,14,607,13,5,0,0,0,18,15,4,0,0,0,19,14,0,0,4,0,18,38,0,0,0,0,38,93,0,0,7,5,105,21,5,0,18,0,44,622,42,33,95,26,818,60,8,5,87,1624,1784,2515,443,340,3186,1823,8307,44,202
29799,0,3,0,10,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,18,0,34,0,0
3GBRI,13911,78215,59054,548355,14549,714084,37,335,149,4310,249,5080,59713,1751,2325,4303,1255,69347,3967,750,303,884,84,5988,17130,5654,3346,8424,448,35002,185709,68561,49892,438196,15364,757722,17691,468,2781,356,468,21764,6068,1125,750,4153,191,12287,21638,8375,5609,85146,1947,122715,7259,2456,972,6041,374,17102,3752,723,296,888,70,5729,31151,995,737,687,597,34167,37001,16044,10865,170875,3823,238608,17721,7048,2770,22477,958,50974,8726,44,173,123,198,9264,1987,604,255,1252,96,4194,1012,141,60,120,14,1347,2246,933,521,2092,115,5907,22270,2202,1620,751,907,27750,20069,5090,3875,1152,688,30874,7621,1511,965,3553,208,13858,4335,661,481,1581,118,7176,15099,887,436,136,774,17332,44935,17195,12292,124028,3072,201522,3467,298,159,282,58,4264,11558,917,710,271,175,13631,5989,741,537,1709,153,9129,4412,320,220,225,78,5255,17381,326,381,188,596,18872,5525,1491,916,5628,157,13717,117400,14136,11200,21481,3739,167956,12465,2335,2080,22813,92678,132371,610749,146801,107044,1068792,132619,2066005,18165,85744
3RQLD,10996,69986,56248,713370,19315,869915,36,375,193,24450,439,25493,15775,1048,1228,6767,509,25327,3325,589,227,1033,88,5262,16967,4911,3210,8344,561,33993,178840,63746,49001,556377,19084,867048,13538,414,2729,351,471,17503,5663,921,705,4688,201,12178,23053,8287,5975,107705,2426,147446,3851,1558,622,4294,206,10531,3190,682,214,773,75,4934,9991,536,375,779,233,11914,31113,13509,9724,186134,4440,244920,19696,7816,3150,33219,1163,65044,4622,27,125,96,103,4973,947,348,191,977,53,2516,541,98,49,159,13,860,3813,1478,804,4453,180,10728,15343,2021,1424,1008,589,20385,18931,4996,3670,1334,547,29478,5239,1020,685,3138,176,10258,2770,504,362,1503,94,5233,2396,330,143,184,116,3169,42114,15884,11706,144977,3582,218263,1546,201,73,197,43,2060,9241,638,568,270,129,10846,3890,638,413,2556,169,7666,1586,189,114,241,26,2156,2211,89,107,53,61,2521,5093,1382,843,5526,156,13000,75109,12508,10412,36564,3225,137818,8477,2448,2228,38017,129689,180859,443528,135145,103047,1396939,175058,2253717,13816,77687
