LGA_CODE_2021,C11_Aus_BP_B_OS,C11_Aus_Fa_O_B_OS,C11_Aus_Mo_O_B_OS,C11_Aus_BP_B_Aus,C11_Aus_Bplace_NS,C11_Aus_Tot_resp,C11_Aus_Ab_BP_B_OS,C11_Aus_Ab_Fa_O_B_OS,C11_Aus_Ab_Mo_O_B_OS,C11_Aus_Ab_BP_B_Aus,C11_Aus_Abor_Bplace_NS,C11_Aus_Abor_Tot_respons,C11_Chi_BP_B_OS,C11_Chi_Fa_O_B_OS,C11_Chi_Mo_O_B_OS,C11_Chi_BP_B_Aus,C11_Chi_Bplace_NS,C11_Chi_Tot_resp,C11_Cro_BP_B_OS,C11_Cro_Fa_O_B_OS,C11_Cro_Mo_O_B_OS,C11_Cro_BP_B_Aus,C11_Cro_Bplace_NS,C11_Cro_Tot_resp,C11_Dut_BP_B_OS,C11_Dut_Fa_O_B_OS,C11_Dut_Mo_O_B_OS,C11_Dut_BP_B_Aus,C11_Dut_Bplace_NS,C11_Dut_Tot_resp,C11_Eng_BP_B_OS,C11_Eng_Fa_O_B_OS,C11_Eng_Mo_O_B_OS,C11_Eng_BP_B_Aus,C11_Eng_Bplace_NS,C11_Eng_Tot_resp,C11_Fil_BP_B_OS,C11_Fil_Fa_O_B_OS,C11_Fil_Mo_O_B_OS,C11_Fil_BP_B_Aus,C11_Fil_Bplace_NS,C11_Fil_Tot_resp,C11_Fre_BP_B_OS,C11_Fre_Fa_O_B_OS,C11_Fre_Mo_O_B_OS,C11_Fre_BP_B_Aus,C11_Fre_Bplace_NS,C11_Fre_Tot_resp,C11_Ger_BP_B_OS,C11_Ger_Fa_O_B_OS,C11_Ger_Mo_O_B_OS,C11_Ger_BP_B_Aus,C11_Ger_Bplace_NS,C11_Ger_Tot_resp,C11_Gre_BP_B_OS,C11_Gre_Fa_O_B_OS,C11_Gre_Mo_O_B_OS,C11_Gre_BP_B_Aus,C11_Gre_Bplace_NS,C11_Gre_Tot_resp,C11_Hun_BP_B_OS,C11_Hun_Fa_O_B_OS,C11_Hun_Mo_O_B_OS,C11_Hun_BP_B_Aus,C11_Hun_Bplace_NS,C11_Hun_Tot_resp,C11_Ind_BP_B_OS,C11_Ind_Fa_O_B_OS,C11_Ind_Mo_O_B_OS,C11_Ind_BP_B_Aus,C11_Ind_Bplace_NS,C11_Ind_Tot_resp,C11_Iri_BP_B_OS,C11_Iri_Fa_O_B_OS,C11_Iri_Mo_O_B_OS,C11_Iri_BP_B_Aus,C11_Iri_Bplace_NS,C11_Iri_Tot_resp,C11_Ita_BP_B_OS,C11_Ita_Fa_O_B_OS,C11_Ita_Mo_O_B_OS,C11_Ita_BP_B_Aus,C11_Ita_Bplace_NS,C11_Ita_Tot_resp,C11_Kor_BP_B_OS,C11_Kor_Fa_O_B_OS,C11_Kor_Mo_O_B_OS,C11_Kor_BP_B_Aus,C11_Kor_Bplace_NS,C11_Kor_Tot_resp,C11_Leb_BP_B_OS,C11_Leb_Fa_O_B_OS,C11_Leb_Mo_O_B_OS,C11_Leb_BP_B_Aus,C11_Leb_Bplace_NS,C11_Leb_Tot_resp,C11_Mac_BP_B_OS,C11_Mac_Fa_O_B_OS,C11_Mac_Mo_O_B_OS,C11_Mac_BP_B_Aus,C11_Mac_Bplace_NS,C11_Mac_Tot_resp,C11_Mal_BP_B_OS,C11_Mal_Fa_O_B_OS,C11_Mal_Mo_O_B_OS,C11_Mal_BP_B_Aus,C11_Mal_Bplace_NS,C11_Mal_Tot_resp,C11_Mao_BP_B_OS,C11_Mao_Fa_O_B_OS,C11_Mao_Mo_O_B_OS,C11_Mao_BP_B_Aus,C11_Mao_Bplace_NS,C11_Mao_Tot_resp,C11_NZ_BP_B_OS,C11_NZ_Fa_O_B_OS,C11_NZ_Mo_O_B_OS,C11_NZ_BP_B_Aus,C11_NZ_Bplace_NS,C11_NZ_Tot_resp,C11_Pol_BP_B_OS,C11_Pol_Fa_O_B_OS,C11_Pol_Mo_O_B_OS,C11_Pol_BP_B_Aus,C11_Pol_Bplace_NS,C11_Pol_Tot_resp,C11_Rus_BP_B_OS,C11_Rus_Fa_O_B_OS,C11_Rus_Mo_O_B_OS,C11_Rus_BP_B_Aus,C11_Rus_Birthplac_ns,C11_Rus_Tot_resp,C11_Sam_BP_B_OS,C11_Sam_Fa_O_B_OS,C11_Sam_Mo_O_B_OS,C11_Sam_BP_B_Aus,C11_Sam_Birthplac_ns,C11_Sam_Tot_resp,C11_Sco_BP_B_OS,C11_Sco_Fa_O_B_OS,C11_Sco_Mo_O_B_OS,C11_Sco_BP_B_Aus,C11_Sco_Birthplac_ns,C11_Sco_Tot_resp,C11_Ser_BP_B_OS,C11_Ser_Fa_O_B_OS,C11_Ser_Mo_O_B_OS,C11_Ser_BP_B_Aus,C11_Ser_Bplace_NS,C11_Ser_Tot_resp,C11_SAf_BP_B_OS,C11_SAf_Fa_O_B_OS,C11_SAf_Mo_O_B_OS,C11_SAf_BP_B_Aus,C11_SAf_Bplace_NS,C11_SAf_Tot_resp,C11_Span_BP_B_OS,C11_Span_Fa_O_B_OS,C11_Span_Mo_O_B_OS,C11_Span_BP_B_Aus,C11_Span_Bplace_NS,C11_Span_Tot_resp,C11_SriL_BP_B_OS,C11_SriL_Fa_O_B_OS,C11_SriL_Mo_O_B_OS,C11_SriL_BP_B_Aus,C11_SriL_Bplace_NS,C11_SriL_Tot_resp,C11_Viet_BP_B_OS,C11_Viet_Fa_O_B_OS,C11_Viet_Mo_O_B_OS,C11_Viet_BP_B_Aus,C11_Viet_Bplace_NS,C11_Viet_Tot_resp,C11_Wel_BP_B_OS,C11_Wel_Fa_O_B_OS,C11_Wel_Mo_O_B_OS,C11_Wel_BP_B_Aus,C11_Wel_Bplace_NS,C11_Wel_Tot_resp,C11_Oth_BP_B_OS,C11_Oth_Fa_O_B_OS,C11_Oth_Mo_O_B_OS,C11_Oth_BP_B_Aus,C11_Oth_Bplace_NS,C11_Oth_Tot_resp,C11_Anc_ns_BP_B_OS,C11_Anc_ns_Fa_O_B_OS,C11_Anc_ns_Mo_O_B_OS,C11_Anc_ns_BP_B_Aus,C11_Anc_ns_Bplace_NS,C11_Anc_NS_Tot_resp,C11_Tot_P_BP_B_OS,C11_Tot_P_Fa_O_B_OS,C11_Tot_P_Mo_O_B_OS,C11_Tot_P_BP_B_Aus,C11_Tot_P_Bplace_NS,C11_Tot_P_Tot_resp,C16_Aus_BP_B_OS,C16_Aus_Fa_O_B_OS
LGA10050,133,1233,915,16528,603,19412,0,0,0,109,14,123,129,15,18,100,10,272,88,28,12,41,7,176,373,120,65,240,13,811,1800,1178,776,14524,415,18693,214,5,40,3,10,272,38,14,8,97,3,160,460,214,107,2826,72,3679,145,43,12,123,11,334,65,21,8,19,0,113,355,22,15,16,7,415,332,263,147,5526,119,6387,256,134,43,603,21,1057,29,0,0,4,3,36,45,27,13,63,6,154,8,0,0,0,0,8,36,18,0,39,0,93,71,11,18,24,9,133,121,66,63,24,6,280,143,41,18,97,11,310,41,4,9,29,3,86,8,4,0,4,4,20,465,310,202,3960,72,5009,57,4,0,20,0,81,66,0,4,7,0,77,49,4,8,88,4,153,30,6,5,0,0,41,18,0,0,0,0,18,64,27,17,135,0,243,1295,220,136,463,62,2176,111,43,24,872,2030,3080,6052,2494,1651,34388,3229,47814,219,1318
LGA10180,73,788,578,10148,282,11869,0,0,0,231,10,241,334,23,10,65,14,446,3,3,0,7,0,13,112,44,38,98,0,292,1020,660,483,8407,259,10829,64,0,14,0,0,78,43,10,10,64,0,127,240,69,60,989,25,1383,25,8,0,32,0,65,28,13,0,13,0,54,93,6,0,10,4,113,187,160,96,3071,52,3566,57,24,12,191,9,293,9,0,0,4,0,13,18,3,5,35,0,61,0,0,0,0,0,0,15,5,4,16,0,40,37,11,9,7,0,64,80,37,40,16,4,177,39,13,4,37,0,93,28,6,0,15,0,49,7,0,6,0,0,13,293,194,133,2458,64,3142,3,0,0,3,0,6,59,9,7,5,0,80,25,4,6,28,0,63,33,4,7,0,0,44,49,0,0,0,3,52,37,17,8,93,9,164,1012,170,133,212,45,1572,46,22,18,456,1445,1987,3351,1376,998,19622,2057,27404,108,771
LGA10250,112,1372,1020,13659,403,16566,0,8,5,266,3,282,120,14,25,68,4,231,34,16,11,17,0,78,308,84,61,125,12,590,2316,1263,932,12150,351,17012,86,4,21,3,0,114,62,19,9,106,0,196,293,94,87,1128,28,1630,41,16,8,72,5,142,39,9,8,12,0,68,56,14,5,20,0,95,395,322,225,4549,93,5584,246,126,33,571,21,997,15,0,0,3,0,18,8,3,4,16,4,35,8,0,0,4,0,12,62,19,9,48,4,142,55,33,29,18,9,144,164,58,48,31,7,308,78,15,9,32,3,137,22,7,4,15,6,54,12,0,3,7,0,22,516,320,232,3137,80,4285,18,4,0,0,0,22,86,15,0,10,0,111,48,12,3,39,0,102,9,6,0,8,0,23,25,3,0,0,0,28,98,37,26,103,0,264,758,235,184,402,31,1610,89,48,32,654,1397,2220,5076,2552,1837,27580,2236,39281,144,1456
LGA10300,15,28,20,831,39,933,0,0,0,15,0,15,16,0,0,5,0,21,0,0,0,0,0,0,4,5,0,0,0,9,38,24,21,619,22,724,0,0,0,0,0,0,0,0,0,3,0,3,3,3,5,73,0,84,4,0,0,10,0,14,0,0,0,0,0,0,3,0,0,0,0,3,8,3,12,233,5,261,112,19,10,150,3,294,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,4,18,0,0,0,4,0,4,0,0,0,4,0,4,4,0,0,4,0,8,4,0,0,0,0,4,0,0,0,0,0,0,10,9,4,140,6,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,5,0,0,0,0,5,0,0,0,4,0,4,36,8,0,15,4,63,6,3,4,68,168,249,252,78,55,1658,242,2285,10,23
LGA10470,96,1032,746,14633,392,16899,0,4,5,141,11,161,186,9,23,104,4,326,34,15,9,16,0,74,204,84,57,176,11,532,1394,960,731,11958,397,15440,87,4,34,8,5,138,39,7,4,112,0,162,241,110,59,896,17,1323,37,29,13,86,0,165,42,7,5,15,0,69,105,6,8,0,0,119,275,216,171,4850,110,5622,132,106,33,357,8,636,13,0,0,0,5,18,64,30,8,45,4,151,9,0,0,0,0,9,53,12,15,35,0,115,87,18,8,12,4,129,76,55,38,35,7,211,63,34,12,41,3,153,28,10,9,20,0,67,17,5,4,0,0,26,400,219,196,2869,73,3757,33,12,0,5,0,50,59,15,5,6,0,85,25,8,3,22,0,58,17,5,8,0,0,30,31,0,0,0,0,31,57,25,9,108,6,205,637,179,118,303,22,1259,73,25,33,803,2397,3331,3839,1944,1417,28060,3256,38516,155,1102
LGA10500,1980,2945,2105,14650,665,22345,0,18,10,159,3,190,14479,149,243,230,251,15352,1008,89,41,137,23,1298,371,101,76,98,5,651,5815,1959,1390,11163,627,20954,2628,36,192,28,80,2964,324,57,29,120,10,540,810,194,128,887,39,2058,8903,1056,461,2604,306,13330,387,45,27,44,10,513,2819,49,35,27,45,2975,1482,621,378,5085,176,7742,3600,677,272,1327,150,6026,471,0,15,9,13,508,5728,725,247,516,320,7536,4603,312,144,369,120,5548,1005,180,115,257,36,1593,1104,115,71,23,43,1356,605,161,92,31,13,902,537,67,34,61,15,714,840,30,38,29,15,952,353,41,9,4,8,415,1298,494,309,2811,127,5039,974,66,26,61,21,1148,331,34,25,13,7,410,1412,58,49,101,50,1670,192,6,6,13,0,217,1014,13,16,9,28,1080,134,53,37,157,7,388,22021,1223,800,891,603,25538,1947,164,130,770,7491,10502,81910,7761,4848,31491,10690,136700,2478,3277
LGA10550,89,1034,759,11254,295,13431,0,6,0,109,10,125,61,17,10,57,0,145,36,10,3,7,0,56,360,101,78,133,15,687,2182,1033,755,9680,289,13939,76,0,19,0,0,95,48,12,11,98,6,175,399,90,79,1044,27,1639,46,11,11,45,3,116,47,12,3,18,0,80,34,0,0,14,0,48,347,223,140,3225,64,3999,154,71,25,262,13,525,8,3,0,0,0,11,12,5,0,19,0,36,8,3,0,0,0,11,61,7,3,19,3,93,41,19,9,22,0,91,111,49,34,12,3,209,92,15,7,38,0,152,35,13,0,19,0,67,8,9,0,0,0,17,484,266,174,2602,66,3592,8,0,0,0,0,8,55,5,3,12,0,75,23,0,0,16,0,39,4,4,0,8,0,16,20,6,0,0,0,26,76,21,11,91,4,203,591,145,107,339,16,1198,63,37,31,587,1244,1962,4617,1986,1405,22046,1888,31942,113,1094
LGA10600,41,464,340,4452,128,5425,0,0,0,40,0,40,25,8,0,30,0,63,9,0,0,3,0,12,128,29,19,54,3,233,953,450,322,3759,106,5590,12,0,4,0,0,16,26,4,11,49,0,90,161,36,32,341,20,590,10,10,6,16,0,42,16,7,6,8,0,37,7,0,0,4,0,11,153,135,61,1389,43,1781,32,27,10,105,4,178,0,0,0,0,0,0,4,0,0,8,0,12,0,0,0,0,0,0,3,11,9,13,0,36,23,15,8,0,3,49,47,17,18,14,6,102,44,10,4,11,0,69,10,0,0,19,0,29,0,3,0,0,0,3,217,114,84,1073,19,1507,5,0,0,0,0,5,23,0,0,3,0,26,16,0,5,18,0,39,0,0,0,0,0,0,8,0,0,0,0,8,39,19,10,37,0,105,251,107,63,140,16,577,29,16,9,205,303,562,1840,883,590,8620,574,12507,37,504
LGA10650,21,177,126,3170,79,3573,0,0,0,30,0,30,11,4,0,15,0,30,0,8,0,0,0,8,59,6,11,26,6,108,278,183,141,2657,101,3360,16,0,0,0,0,16,6,0,0,18,0,24,57,23,6,216,10,312,4,0,0,9,0,13,3,3,0,4,0,10,12,0,0,3,0,15,56,42,25,909,26,1058,36,16,6,83,0,141,3,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,6,3,5,0,9,0,17,17,0,0,0,0,17,17,7,0,9,0,33,11,0,0,3,0,14,7,0,0,0,0,7,0,0,0,0,0,0,87,56,38,700,13,894,0,0,0,0,0,0,8,3,0,0,0,11,3,0,0,8,0,11,9,0,0,0,0,9,0,0,0,0,0,0,8,7,6,13,0,34,101,25,6,47,0,179,26,6,5,163,305,505,731,356,239,6232,501,8059,22,205
LGA10750,4112,8320,5781,56388,2128,76729,5,69,36,989,57,1156,8917,147,239,303,207,9813,2020,211,122,353,51,2757,1476,456,234,716,56,2938,14293,6088,4126,38726,2068,65301,24037,347,808,112,596,25900,605,55,55,297,26,1038,2415,560,357,2869,102,6303,1938,334,193,745,93,3303,951,138,58,166,27,1340,21187,222,148,102,416,22075,2686,1282,863,11764,402,16997,3661,1127,418,2423,173,7802,1484,6,28,15,38,1571,3220,635,227,501,136,4719,329,29,23,35,16,432,4946,976,470,2034,198,8624,2591,283,194,88,118,3274,1222,409,261,159,52,2103,2022,196,151,392,42,2803,666,60,43,158,21,948,3871,368,128,49,218,4634,2925,1266,941,7959,334,13425,990,67,25,75,27,1184,1136,112,62,33,18,1361,2119,113,92,160,61,2545,2339,61,40,42,29,2511,1095,20,18,15,29,1177,325,112,74,303,13,827,46447,2439,1620,1800,1326,53632,4107,360,266,2614,11584,18931,154113,16791,11247,99801,19137,301089,6231,9191
