LGA_CODE_2021,C16_Aus_Mo_O_B_OS,C16_Aus_BP_B_Aus,C16_Aus_Bplace_NS,C16_Aus_Tot_resp,C16_Aus_Ab_BP_B_OS,C16_Aus_Ab_Fa_O_B_OS,C16_Aus_Ab_Mo_O_B_OS,C16_Aus_Ab_BP_B_Aus,C16_Aus_Abor_Bplace_NS,C16_Aus_Abor_Tot_resp,C16_Chi_BP_B_OS,C16_Chi_Fa_O_B_OS,C16_Chi_Mo_O_B_OS,C16_Chi_BP_B_Aus,C16_Chi_Bplace_NS,C16_Chi_Tot_resp,C16_Cro_BP_B_OS,C16_Cro_Fa_O_B_OS,C16_Cro_Mo_O_B_OS,C16_Cro_BP_B_Aus,C16_Cro_Bplace_NS,C16_Cro_Tot_resp,C16_Dut_BP_B_OS,C16_Dut_Fa_O_B_OS,C16_Dut_Mo_O_B_OS,C16_Dut_BP_B_Aus,C16_Dut_Bplace_NS,C16_Dut_Tot_resp,C16_Eng_BP_B_OS,C16_Eng_Fa_O_B_OS,C16_Eng_Mo_O_B_OS,C16_Eng_BP_B_Aus,C16_Eng_Bplace_NS,C16_Eng_Tot_resp,C16_Fil_BP_B_OS,C16_Fil_Fa_O_B_OS,C16_Fil_Mo_O_B_OS,C16_Fil_BP_B_Aus,C16_Fil_Bplace_NS,C16_Fil_Tot_resp,C16_Fre_BP_B_OS,C16_Fre_Fa_O_B_OS,C16_Fre_Mo_O_B_OS,C16_Fre_BP_B_Aus,C16_Fre_Bplace_NS,C16_Fre_Tot_resp,C16_Ger_BP_B_OS,C16_Ger_Fa_O_B_OS,C16_Ger_Mo_O_B_OS,C16_Ger_BP_B_Aus,C16_Ger_Bplace_NS,C16_Ger_Tot_resp,C16_Gre_BP_B_OS,C16_Gre_Fa_O_B_OS,C16_Gre_Mo_O_B_OS,C16_Gre_BP_B_Aus,C16_Gre_Bplace_NS,C16_Gre_Tot_resp,C16_Hun_BP_B_OS,C16_Hun_Fa_O_B_OS,C16_Hun_Mo_O_B_OS,C16_Hun_BP_B_Aus,C16_Hun_Bplace_NS,C16_Hun_Tot_resp,C16_Ind_BP_B_OS,C16_Ind_Fa_O_B_OS,C16_Ind_Mo_O_B_OS,C16_Ind_BP_B_Aus,C16_Ind_Bplace_NS,C16_Ind_Tot_resp,C16_Iri_BP_B_OS,C16_Iri_Fa_O_B_OS,C16_Iri_Mo_O_B_OS,C16_Iri_BP_B_Aus,C16_Iri_Bplace_NS,C16_Iri_Tot_resp,C16_Ita_BP_B_OS,C16_Ita_Fa_O_B_OS,C16_Ita_Mo_O_B_OS,C16_Ita_BP_B_Aus,C16_Ita_Bplace_NS,C16_Ita_Tot_resp,C16_Kor_BP_B_OS,C16_Kor_Fa_O_B_OS,C16_Kor_Mo_O_B_OS,C16_Kor_BP_B_Aus,C16_Kor_Bplace_NS,C16_Kor_Tot_resp,C16_Leb_BP_B_OS,C16_Leb_Fa_O_B_OS,C16_Leb_Mo_O_B_OS,C16_Leb_BP_B_Aus,C16_Leb_Bplace_NS,C16_Leb_Tot_resp,C16_Mac_BP_B_OS,C16_Mac_Fa_O_B_OS,C16_Mac_Mo_O_B_OS,C16_Mac_BP_B_Aus,C16_Mac_Bplace_NS,C16_Mac_Tot_resp,C16_Mal_BP_B_OS,C16_Mal_Fa_O_B_OS,C16_Mal_Mo_O_B_OS,C16_Mal_BP_B_Aus,C16_Mal_Bplace_NS,C16_Mal_Tot_resp,C16_Mao_BP_B_OS,C16_Mao_Fa_O_B_OS,C16_Mao_Mo_O_B_OS,C16_Mao_BP_B_Aus,C16_Mao_Bplace_NS,C16_Mao_Tot_resp,C16_NZ_BP_B_OS,C16_NZ_Fa_O_B_OS,C16_NZ_Mo_O_B_OS,C16_NZ_BP_B_Aus,C16_NZ_Bplace_NS,C16_NZ_Tot_resp,C16_Pol_BP_B_OS,C16_Pol_Fa_O_B_OS,C16_Pol_Mo_O_B_OS,C16_Pol_BP_B_Aus,C16_Pol_Bplace_NS,C16_Pol_Tot_resp,C16_Rus_BP_B_OS,C16_Rus_Fa_O_B_OS,C16_Rus_Mo_O_B_OS,C16_Rus_BP_B_Aus,C16_Rus_Birthplac_ns,C16_Rus_Tot_resp,C16_Sam_BP_B_OS,C16_Sam_Fa_O_B_OS,C16_Sam_Mo_O_B_OS,C16_Sam_BP_B_Aus,C16_Sam_Birthplac_ns,C16_Sam_Tot_resp,C16_Sco_BP_B_OS,C16_Sco_Fa_O_B_OS,C16_Sco_Mo_O_B_OS,C16_Sco_BP_B_Aus,C16_Sco_Birthplac_ns,C16_Sco_Tot_resp,C16_Ser_BP_B_OS,C16_Ser_Fa_O_B_OS,C16_Ser_Mo_O_B_OS,C16_Ser_BP_B_Aus,C16_Ser_Bplace_NS,C16_Ser_Tot_resp,C16_SAf_BP_B_OS,C16_SAf_Fa_O_B_OS,C16_SAf_Mo_O_B_OS,C16_SAf_BP_B_Aus,C16_SAf_Bplace_NS,C16_SAf_Tot_resp,C16_Span_BP_B_OS,C16_Span_Fa_O_B_OS,C16_Span_Mo_O_B_OS,C16_Span_BP_B_Aus,C16_Span_Bplace_NS,C16_Span_Tot_resp,C16_SriL_BP_B_OS,C16_SriL_Fa_O_B_OS,C16_SriL_Mo_O_B_OS,C16_SriL_BP_B_Aus,C16_SriL_Bplace_NS,C16_SriL_Tot_resp,C16_Viet_BP_B_OS,C16_Viet_Fa_O_B_OS,C16_Viet_Mo_O_B_OS,C16_Viet_BP_B_Aus,C16_Viet_Bplace_NS,C16_Viet_Tot_resp,C16_Wel_BP_B_OS,C16_Wel_Fa_O_B_OS,C16_Wel_Mo_O_B_OS,C16_Wel_BP_B_Aus,C16_Wel_Bplace_NS,C16_Wel_Tot_resp,C16_Oth_BP_B_OS,C16_Oth_Fa_O_B_OS,C16_Oth_Mo_O_B_OS,C16_Oth_BP_B_Aus,C16_Oth_Bplace_NS,C16_Oth_Tot_resp,C16_Anc_ns_BP_B_OS,C16_Anc_ns_Fa_O_B_OS,C16_Anc_ns_Mo_O_B_OS,C16_Anc_ns_BP_B_Aus,C16_Anc_ns_Bplace_NS,C16_Anc_NS_Tot_resp,C16_Tot_P_BP_B_OS,C16_Tot_P_Fa_O_B_OS,C16_Tot_P_Mo_O_B_OS,C16_Tot_P_BP_B_Aus,C16_Tot_P_Bplace_NS,C16_Tot_P_Tot_resp,C21_Aus_BP_B_OS,C21_Aus_Fa_O_B_OS,C21_Aus_Mo_O_B_OS,C21_Aus_BP_B_Aus
LGA10050,923,17210,288,19958,0,10,3,166,3,182,254,15,24,90,3,386,92,27,12,43,0,174,363,109,76,300,9,857,1790,1309,850,15892,321,20162,258,11,42,10,5,326,49,14,11,123,7,204,457,215,146,3009,50,3877,127,40,16,131,5,319,73,18,7,43,7,148,614,30,25,12,8,689,357,346,220,6122,90,7135,244,116,52,717,8,1137,27,0,7,0,0,34,39,22,11,66,5,143,8,0,0,4,0,12,34,16,3,59,0,112,104,21,12,25,0,162,103,80,56,50,5,294,142,34,16,96,0,288,45,9,10,26,0,90,8,5,6,5,0,24,476,316,222,4610,76,5700,67,3,0,21,0,91,58,14,6,12,0,90,78,11,8,72,0,169,91,5,14,0,0,110,43,3,6,0,3,55,66,34,16,144,8,268,1927,240,170,517,30,2884,123,24,12,452,3272,3883,6986,2587,1736,35766,3995,51070,324,1574,1090,18267
LGA10180,604,10179,167,11829,8,4,0,335,6,353,445,18,24,68,3,558,10,6,0,6,0,22,111,49,37,114,4,315,1058,710,532,8859,189,11348,143,7,18,6,5,179,50,19,7,60,0,136,200,70,58,1001,12,1341,36,9,0,39,0,84,29,8,0,16,0,53,194,5,7,15,0,221,242,171,132,3312,50,3907,62,32,30,230,3,357,18,0,0,3,0,21,14,10,7,42,0,73,0,3,0,0,0,3,8,7,4,20,0,39,53,11,18,12,3,97,62,34,30,26,0,152,36,10,4,38,0,88,29,11,3,32,0,75,11,4,0,4,0,19,324,195,148,2617,48,3332,8,0,0,0,0,8,46,6,6,5,0,63,30,6,5,27,0,68,57,3,0,0,0,60,55,0,0,0,0,55,51,20,12,93,5,181,1481,162,171,269,8,2091,36,5,3,251,1885,2180,4145,1359,1062,19620,2279,28465,129,769,632,8887
LGA10250,1080,13788,299,16767,6,10,3,242,7,268,150,27,24,89,6,296,36,5,8,11,0,60,307,90,55,123,7,582,2385,1379,994,13268,307,18333,102,3,45,10,0,160,96,27,14,140,3,280,326,113,89,1287,23,1838,53,21,10,97,0,181,52,15,3,20,0,90,150,20,10,32,0,212,503,368,254,4873,92,6090,288,149,49,712,12,1210,21,0,4,0,0,25,12,10,3,29,0,54,5,0,5,3,0,13,59,19,12,41,0,131,62,27,25,16,0,130,173,75,60,33,10,351,84,21,18,49,0,172,31,18,0,29,0,78,8,6,0,0,0,14,604,382,268,3722,92,5068,15,4,0,3,0,22,108,26,8,12,0,154,70,6,4,40,0,120,16,13,0,11,0,40,38,0,4,0,0,42,108,28,17,138,3,294,936,286,222,460,23,1927,33,23,16,334,2732,3138,5459,2688,1911,28332,3403,41793,281,1796,1364,14533
LGA10300,20,873,22,948,0,0,0,39,0,39,7,0,0,3,0,10,0,0,0,0,0,0,4,0,0,5,0,9,29,29,28,659,3,748,3,0,3,0,0,6,0,0,0,3,0,3,0,0,0,67,3,70,0,0,0,6,0,6,0,0,0,0,0,0,3,0,0,0,0,3,11,9,9,269,6,304,92,15,9,139,10,265,3,0,0,0,0,3,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,6,0,7,0,0,0,7,3,0,0,0,0,3,0,0,0,4,0,4,0,0,0,0,0,0,8,0,0,0,0,8,4,8,8,161,4,185,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,3,58,9,6,15,0,88,3,0,0,21,228,252,218,72,67,1675,264,2296,8,34,23,710
LGA10470,827,15508,276,17868,0,10,8,266,5,289,210,14,28,122,6,380,39,9,5,23,0,76,202,88,51,213,0,554,1439,998,798,13238,299,16772,142,3,51,15,6,217,50,14,14,140,0,218,224,101,74,1031,20,1450,39,13,8,80,5,145,40,12,4,18,0,74,232,12,12,3,0,259,340,268,186,5406,82,6282,144,121,45,444,5,759,21,0,7,0,0,28,64,23,9,42,4,142,5,4,5,3,0,17,53,19,22,94,0,188,61,29,11,12,0,113,106,68,36,52,4,266,75,24,13,66,0,178,26,11,13,16,0,66,14,6,0,9,0,29,436,254,209,3309,61,4269,20,6,5,16,0,47,62,16,14,10,0,102,43,9,0,26,0,78,44,0,4,11,0,59,57,0,3,0,0,60,66,33,14,112,5,230,906,190,142,363,11,1612,69,16,16,380,3432,3913,4358,1999,1537,29375,4033,41302,188,1256,962,15827
LGA10500,2481,14522,338,23096,16,41,7,254,6,324,20579,215,318,274,165,21551,1006,108,73,219,10,1416,384,87,75,140,3,689,6766,2338,1678,12220,416,23418,3587,77,275,40,52,4031,531,63,31,129,12,766,1103,224,142,1052,35,2556,8938,1161,659,3119,137,14014,455,45,22,52,5,579,3856,64,40,28,32,4020,2237,852,516,5729,120,9454,3882,738,337,1658,126,6741,673,7,22,6,8,716,5839,882,393,759,80,7953,4426,312,208,510,40,5496,1022,198,118,359,24,1721,919,129,66,39,12,1165,649,168,112,59,15,1003,704,73,46,105,4,932,1022,29,70,46,8,1175,370,38,17,10,5,440,1473,582,399,3148,85,5687,1029,77,43,60,13,1222,341,47,30,15,7,440,1903,59,67,104,26,2159,187,12,5,18,4,226,1651,30,42,18,21,1762,165,60,37,176,5,443,30781,1443,1215,1299,298,35036,1084,108,56,345,9343,10936,97857,8562,5891,32657,11093,156060,3424,3810,3018,14156
LGA10550,814,11672,289,13982,0,10,0,117,6,133,103,10,30,56,0,199,34,4,7,4,0,49,343,100,62,133,10,648,2170,1068,766,10174,246,14424,112,0,32,8,4,156,57,17,6,75,10,165,409,96,102,1037,25,1669,52,11,6,30,0,99,56,9,9,18,0,92,56,0,0,10,0,66,360,234,136,3352,69,4151,157,72,31,284,9,553,14,0,3,0,0,17,10,0,0,25,0,35,3,4,5,0,0,12,64,24,5,42,0,135,48,13,0,12,0,73,72,33,26,23,3,157,83,14,13,64,4,178,39,10,6,25,0,80,6,6,3,4,0,19,492,277,185,2715,60,3729,9,0,3,0,0,12,52,8,6,13,0,79,34,0,0,28,5,67,9,0,0,4,0,13,23,0,0,0,0,23,98,23,16,94,0,231,710,165,126,352,23,1376,38,12,16,319,2241,2626,4727,1987,1420,22266,2849,33249,178,1215,921,12126
LGA10600,317,4350,112,5320,0,3,0,64,0,67,21,9,0,17,4,51,6,4,4,10,0,24,127,29,24,34,0,214,878,467,323,3814,108,5590,16,0,6,3,0,25,36,12,7,50,4,109,156,25,41,379,11,612,11,9,3,26,4,53,24,3,4,15,0,46,25,3,0,0,0,28,149,124,64,1382,25,1744,33,29,8,126,4,200,0,0,0,0,0,0,4,7,0,9,0,20,4,0,0,0,0,4,3,5,0,19,0,27,16,3,11,9,0,39,32,24,14,19,0,89,30,7,6,18,0,61,21,6,3,13,0,43,3,8,0,3,0,14,205,124,102,1101,20,1552,0,0,4,0,0,4,20,4,5,0,0,29,14,0,7,16,0,37,0,0,0,0,0,0,7,0,0,4,0,11,43,14,3,42,0,102,301,99,69,140,11,620,25,12,4,124,708,873,1757,912,609,8452,937,12667,61,580,360,4145
LGA10650,148,3052,71,3498,0,0,0,4,0,4,38,5,3,11,0,57,0,0,3,0,0,3,53,12,18,26,0,109,267,184,132,2748,81,3412,34,0,11,0,0,45,9,3,0,21,0,33,52,16,5,225,7,305,4,3,0,6,0,13,3,5,0,5,0,13,22,0,0,10,0,32,69,30,37,944,15,1095,33,25,9,117,5,189,3,0,0,0,0,3,0,0,0,8,0,8,0,0,0,0,0,0,3,9,0,11,0,23,13,3,0,3,0,19,19,15,6,8,0,48,11,6,0,4,0,21,5,0,0,0,0,5,6,0,0,0,0,6,101,59,43,731,13,947,0,0,0,0,0,0,14,0,4,0,0,18,0,0,0,0,0,0,5,3,0,0,0,8,0,0,0,5,0,5,8,11,0,18,0,37,123,22,10,80,5,240,15,4,0,157,731,907,775,373,258,6157,895,8458,38,237,157,2976
LGA10750,6176,53843,1234,76675,24,142,46,1160,26,1398,12761,220,421,401,89,13892,1919,227,135,449,25,2755,1330,383,251,663,26,2653,15643,6695,4537,41638,1200,69713,27908,488,1127,173,235,29931,752,89,58,333,16,1248,2765,662,421,3251,105,7204,1895,409,234,933,41,3512,864,136,53,194,12,1259,37207,295,207,133,217,38059,3037,1566,1094,13199,222,19118,3750,1179,512,3113,95,8649,1948,7,31,15,4,2005,3381,771,342,712,39,5245,320,54,21,54,4,453,4568,922,495,2397,79,8461,2765,327,248,141,77,3558,1394,449,284,210,35,2372,1819,209,165,431,18,2642,755,59,56,168,17,1055,4877,422,214,79,138,5730,3198,1378,1082,9125,177,14960,981,79,51,79,14,1204,1120,133,115,57,11,1436,3063,129,76,137,31,3436,3796,65,53,41,17,3972,1280,41,82,16,7,1426,310,106,65,392,8,881,62669,3190,2168,2560,599,71186,2769,154,157,1065,15754,19899,189430,17998,12415,97470,19651,336964,9376,9399,6658,49504
