SA2_CODE_2021,C16_Aus_Mo_O_B_OS,C16_Aus_BP_B_Aus,C16_Aus_Bplace_NS,C16_Aus_Tot_resp,C16_Aus_Ab_BP_B_OS,C16_Aus_Ab_Fa_O_B_OS,C16_Aus_Ab_Mo_O_B_OS,C16_Aus_Ab_BP_B_Aus,C16_Aus_Abor_Bplace_NS,C16_Aus_Abor_Tot_resp,C16_Chi_BP_B_OS,C16_Chi_Fa_O_B_OS,C16_Chi_Mo_O_B_OS,C16_Chi_BP_B_Aus,C16_Chi_Bplace_NS,C16_Chi_Tot_resp,C16_Cro_BP_B_OS,C16_Cro_Fa_O_B_OS,C16_Cro_Mo_O_B_OS,C16_Cro_BP_B_Aus,C16_Cro_Bplace_NS,C16_Cro_Tot_resp,C16_Dut_BP_B_OS,C16_Dut_Fa_O_B_OS,C16_Dut_Mo_O_B_OS,C16_Dut_BP_B_Aus,C16_Dut_Bplace_NS,C16_Dut_Tot_resp,C16_Eng_BP_B_OS,C16_Eng_Fa_O_B_OS,C16_Eng_Mo_O_B_OS,C16_Eng_BP_B_Aus,C16_Eng_Bplace_NS,C16_Eng_Tot_resp,C16_Fil_BP_B_OS,C16_Fil_Fa_O_B_OS,C16_Fil_Mo_O_B_OS,C16_Fil_BP_B_Aus,C16_Fil_Bplace_NS,C16_Fil_Tot_resp,C16_Fre_BP_B_OS,C16_Fre_Fa_O_B_OS,C16_Fre_Mo_O_B_OS,C16_Fre_BP_B_Aus,C16_Fre_Bplace_NS,C16_Fre_Tot_resp,C16_Ger_BP_B_OS,C16_Ger_Fa_O_B_OS,C16_Ger_Mo_O_B_OS,C16_Ger_BP_B_Aus,C16_Ger_Bplace_NS,C16_Ger_Tot_resp,C16_Gre_BP_B_OS,C16_Gre_Fa_O_B_OS,C16_Gre_Mo_O_B_OS,C16_Gre_BP_B_Aus,C16_Gre_Bplace_NS,C16_Gre_Tot_resp,C16_Hun_BP_B_OS,C16_Hun_Fa_O_B_OS,C16_Hun_Mo_O_B_OS,C16_Hun_BP_B_Aus,C16_Hun_Bplace_NS,C16_Hun_Tot_resp,C16_Ind_BP_B_OS,C16_Ind_Fa_O_B_OS,C16_Ind_Mo_O_B_OS,C16_Ind_BP_B_Aus,C16_Ind_Bplace_NS,C16_Ind_Tot_resp,C16_Iri_BP_B_OS,C16_Iri_Fa_O_B_OS,C16_Iri_Mo_O_B_OS,C16_Iri_BP_B_Aus,C16_Iri_Bplace_NS,C16_Iri_Tot_resp,C16_Ita_BP_B_OS,C16_Ita_Fa_O_B_OS,C16_Ita_Mo_O_B_OS,C16_Ita_BP_B_Aus,C16_Ita_Bplace_NS,C16_Ita_Tot_resp,C16_Kor_BP_B_OS,C16_Kor_Fa_O_B_OS,C16_Kor_Mo_O_B_OS,C16_Kor_BP_B_Aus,C16_Kor_Bplace_NS,C16_Kor_Tot_resp,C16_Leb_BP_B_OS,C16_Leb_Fa_O_B_OS,C16_Leb_Mo_O_B_OS,C16_Leb_BP_B_Aus,C16_Leb_Bplace_NS,C16_Leb_Tot_resp,C16_Mac_BP_B_OS,C16_Mac_Fa_O_B_OS,C16_Mac_Mo_O_B_OS,C16_Mac_BP_B_Aus,C16_Mac_Bplace_NS,C16_Mac_Tot_resp,C16_Mal_BP_B_OS,C16_Mal_Fa_O_B_OS,C16_Mal_Mo_O_B_OS,C16_Mal_BP_B_Aus,C16_Mal_Bplace_NS,C16_Mal_Tot_resp,C16_Mao_BP_B_OS,C16_Mao_Fa_O_B_OS,C16_Mao_Mo_O_B_OS,C16_Mao_BP_B_Aus,C16_Mao_Bplace_NS,C16_Mao_Tot_resp,C16_NZ_BP_B_OS,C16_NZ_Fa_O_B_OS,C16_NZ_Mo_O_B_OS,C16_NZ_BP_B_Aus,C16_NZ_Bplace_NS,C16_NZ_Tot_resp,C16_Pol_BP_B_OS,C16_Pol_Fa_O_B_OS,C16_Pol_Mo_O_B_OS,C16_Pol_BP_B_Aus,C16_Pol_Bplace_NS,C16_Pol_Tot_resp,C16_Rus_BP_B_OS,C16_Rus_Fa_O_B_OS,C16_Rus_Mo_O_B_OS,C16_Rus_BP_B_Aus,C16_Rus_Birthplac_ns,C16_Rus_Tot_resp,C16_Sam_BP_B_OS,C16_Sam_Fa_O_B_OS,C16_Sam_Mo_O_B_OS,C16_Sam_BP_B_Aus,C16_Sam_Birthplac_ns,C16_Sam_Tot_resp,C16_Sco_BP_B_OS,C16_Sco_Fa_O_B_OS,C16_Sco_Mo_O_B_OS,C16_Sco_BP_B_Aus,C16_Sco_Birthplac_ns,C16_Sco_Tot_resp,C16_Ser_BP_B_OS,C16_Ser_Fa_O_B_OS,C16_Ser_Mo_O_B_OS,C16_Ser_BP_B_Aus,C16_Ser_Bplace_NS,C16_Ser_Tot_resp,C16_SAf_BP_B_OS,C16_SAf_Fa_O_B_OS,C16_SAf_Mo_O_B_OS,C16_SAf_BP_B_Aus,C16_SAf_Bplace_NS,C16_SAf_Tot_resp,C16_Span_BP_B_OS,C16_Span_Fa_O_B_OS,C16_Span_Mo_O_B_OS,C16_Span_BP_B_Aus,C16_Span_Bplace_NS,C16_Span_Tot_resp,C16_SriL_BP_B_OS,C16_SriL_Fa_O_B_OS,C16_SriL_Mo_O_B_OS,C16_SriL_BP_B_Aus,C16_SriL_Bplace_NS,C16_SriL_Tot_resp,C16_Viet_BP_B_OS,C16_Viet_Fa_O_B_OS,C16_Viet_Mo_O_B_OS,C16_Viet_BP_B_Aus,C16_Viet_Bplace_NS,C16_Viet_Tot_resp,C16_Wel_BP_B_OS,C16_Wel_Fa_O_B_OS,C16_Wel_Mo_O_B_OS,C16_Wel_BP_B_Aus,C16_Wel_Bplace_NS,C16_Wel_Tot_resp,C16_Oth_BP_B_OS,C16_Oth_Fa_O_B_OS,C16_Oth_Mo_O_B_OS,C16_Oth_BP_B_Aus,C16_Oth_Bplace_NS,C16_Oth_Tot_resp,C16_Anc_ns_BP_B_OS,C16_Anc_ns_Fa_O_B_OS,C16_Anc_ns_Mo_O_B_OS,C16_Anc_ns_BP_B_Aus,C16_Anc_ns_Bplace_NS,C16_Anc_NS_Tot_resp,C16_Tot_P_BP_B_OS,C16_Tot_P_Fa_O_B_OS,C16_Tot_P_Mo_O_B_OS,C16_Tot_P_BP_B_Aus,C16_Tot_P_Bplace_NS,C16_Tot_P_Tot_resp,C21_Aus_BP_B_OS,C21_Aus_Fa_O_B_OS,C21_Aus_Mo_O_B_OS,C21_Aus_BP_B_Aus
101021007,107,1178,33,1448,0,0,0,10,0,10,9,0,0,19,0,28,5,0,0,4,0,9,29,5,7,14,3,58,241,126,107,1098,27,1599,17,0,0,0,0,17,12,4,0,22,0,38,41,8,9,80,4,142,0,3,0,7,0,10,7,5,0,0,0,12,8,5,0,6,0,19,44,30,20,498,12,604,16,11,0,46,0,73,0,0,0,0,0,0,4,0,0,4,0,8,3,0,0,0,0,3,10,0,0,4,0,14,6,0,0,0,0,6,13,3,0,0,0,16,14,3,0,0,0,17,0,0,0,4,0,4,0,0,0,0,0,0,59,42,26,361,3,491,5,0,0,0,0,5,5,0,0,4,0,9,15,0,0,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,9,0,33,91,24,21,54,0,190,9,0,0,20,409,438,558,239,186,2425,469,3877,8,177,118,1371
101021008,203,2644,69,3246,0,4,0,61,3,68,53,3,5,30,4,95,68,19,7,19,0,113,38,20,10,34,0,102,325,240,173,2058,58,2854,52,0,11,0,0,63,18,7,5,14,0,44,76,32,27,219,3,357,54,6,3,15,0,78,19,6,0,14,0,39,72,3,0,3,0,78,78,73,48,805,12,1016,207,35,15,164,0,421,7,3,3,0,0,13,9,0,0,3,0,12,274,20,14,33,6,347,19,10,6,35,6,76,50,6,0,11,3,70,19,16,6,0,0,41,39,4,8,17,0,68,32,0,0,7,0,39,26,8,0,0,0,34,108,56,50,527,9,750,74,17,5,5,0,101,5,4,4,0,0,13,13,0,0,6,0,19,7,3,3,0,0,13,28,0,4,0,0,32,17,7,5,20,0,49,372,45,59,59,6,541,20,5,5,70,408,508,1877,546,385,4886,557,8251,53,334,220,2566
101021009,230,2674,43,3369,0,5,0,43,0,48,164,5,4,20,0,193,78,7,4,11,0,100,52,15,11,38,3,119,507,311,223,2490,57,3588,205,7,18,0,3,233,16,3,0,20,0,39,116,53,25,268,4,466,132,10,6,38,0,186,29,11,0,12,0,52,398,5,5,0,10,418,112,95,75,1113,12,1407,224,45,26,124,12,431,28,0,0,0,0,28,9,0,0,11,0,20,254,19,18,30,0,321,32,13,6,21,3,75,67,14,7,6,0,94,37,21,13,12,0,83,77,12,11,12,0,112,16,8,0,10,0,34,39,0,0,0,0,39,140,71,63,666,11,951,84,3,0,10,0,97,3,0,3,3,0,9,36,0,3,8,0,47,14,0,0,0,0,14,41,0,0,0,0,41,21,6,12,27,0,66,915,65,51,93,4,1128,45,3,5,61,760,874,3406,654,474,5398,905,10837,147,385,277,2750
101021010,106,1218,20,1540,0,4,0,21,0,25,71,3,7,12,0,93,43,10,4,15,0,72,14,12,5,33,0,64,267,153,101,1115,22,1658,57,0,13,0,0,70,11,6,0,16,0,33,52,11,7,121,0,191,22,11,0,23,0,56,11,0,0,6,0,17,258,0,0,5,0,263,60,49,28,487,4,628,60,23,7,62,4,156,11,0,0,0,0,11,8,6,0,3,0,17,81,13,7,13,0,114,7,5,0,18,0,30,19,3,0,0,0,22,18,9,5,5,0,37,26,3,0,3,0,32,17,0,3,0,0,20,14,3,0,0,0,17,71,35,41,286,5,438,23,0,4,0,0,27,4,5,0,0,0,9,24,0,0,5,0,29,8,0,0,0,0,8,17,0,0,0,0,17,7,0,0,12,0,19,445,30,24,46,7,552,18,5,5,26,262,316,1494,317,221,2443,313,4788,68,179,125,1287
101021012,367,3990,28,4974,0,4,0,45,0,49,126,8,12,33,3,182,86,15,6,57,0,164,92,32,27,74,0,225,704,431,341,3142,40,4658,81,0,13,5,0,99,28,6,5,37,0,76,143,52,30,392,0,617,66,15,3,57,0,141,39,5,8,6,0,58,155,4,8,8,0,175,158,108,80,1220,15,1581,273,75,23,308,6,685,3,3,0,0,0,6,20,0,0,11,0,31,219,48,13,55,5,340,35,13,6,37,0,91,36,7,9,7,3,62,50,37,27,9,0,123,60,13,6,52,0,131,33,5,0,9,0,47,12,4,0,0,0,16,208,133,85,841,5,1272,64,12,14,20,3,113,36,10,0,0,0,46,39,0,8,13,0,60,23,3,6,5,0,37,10,5,0,0,0,15,25,19,4,43,0,91,588,114,116,187,11,1016,26,9,3,75,456,569,2858,1006,696,7534,553,12647,122,535,417,3916
101021610,48,492,6,635,0,0,0,0,0,0,32,0,0,0,0,32,13,9,0,6,0,28,10,4,0,15,0,29,82,63,34,288,3,470,46,0,3,0,0,49,8,4,0,0,0,12,8,7,0,38,4,57,4,3,0,10,0,17,0,0,0,4,0,4,68,0,0,0,0,68,15,8,4,98,0,125,28,10,9,45,0,92,0,0,0,0,0,0,5,0,0,0,0,5,30,7,0,11,0,48,0,0,0,10,0,10,3,0,0,0,0,3,6,5,5,6,0,22,9,0,3,4,0,16,0,0,0,3,0,3,3,4,0,0,0,7,21,14,21,99,0,155,3,0,0,0,0,3,9,0,0,0,0,9,6,0,6,0,0,12,8,0,0,0,0,8,3,0,0,0,0,3,5,0,0,0,0,5,94,8,16,38,0,156,5,0,0,3,112,120,420,135,83,829,122,1589,66,273,223,1966
101021611,501,5175,94,6450,0,0,0,40,0,40,47,5,13,28,0,93,63,5,5,42,0,115,137,51,48,77,5,318,1089,501,463,3879,88,6020,13,0,4,0,0,17,30,10,4,44,0,88,211,68,61,394,4,738,30,16,3,39,0,88,34,5,5,12,0,56,43,8,3,9,0,63,223,112,84,1571,36,2026,204,74,17,178,4,477,5,0,0,0,0,5,6,0,4,13,0,23,30,7,3,8,0,48,33,10,6,10,0,59,11,3,3,0,0,17,49,27,22,14,0,112,57,18,3,23,5,106,6,5,4,7,0,22,0,0,0,0,0,0,251,125,112,1083,20,1591,32,8,9,11,0,60,23,4,4,0,0,31,41,12,3,22,0,78,14,0,5,0,0,19,11,0,0,0,0,11,45,13,4,58,4,124,449,129,87,169,7,841,12,7,4,87,1367,1477,2608,1047,866,9263,1568,15352,98,658,598,5652
101031013,57,958,22,1095,0,0,0,3,0,3,11,0,0,0,0,11,3,0,0,0,0,3,8,3,0,3,0,14,84,51,46,804,19,1004,6,0,0,0,0,6,0,0,0,0,0,0,22,13,8,74,4,121,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,15,12,8,216,5,256,8,0,0,25,0,33,18,0,0,0,0,18,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,4,0,9,3,5,0,4,0,12,9,3,0,0,0,12,6,4,0,0,0,10,10,4,0,0,0,14,0,0,0,0,0,0,24,9,15,231,6,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,14,34,6,11,12,0,63,8,0,0,31,154,193,237,94,93,1775,203,2402,9,62,43,948
101031014,132,2286,42,2706,0,0,0,17,0,17,49,0,3,20,4,76,10,3,0,4,0,17,77,13,5,26,3,124,304,193,144,1796,49,2486,18,0,7,3,0,28,17,5,5,9,0,36,150,28,28,190,5,401,23,7,6,4,0,40,18,3,0,11,0,32,24,0,0,4,3,31,59,50,29,626,17,781,97,18,10,49,3,177,3,0,0,0,0,3,38,14,0,18,4,74,4,0,0,0,0,4,8,0,4,0,0,12,8,6,3,3,0,20,30,14,10,3,0,57,35,0,4,6,0,45,5,0,0,7,0,12,0,0,0,0,0,0,93,48,56,494,10,701,14,0,8,0,0,22,9,0,0,0,0,9,15,0,0,0,0,15,9,0,0,0,0,9,11,0,0,0,0,11,7,7,0,16,0,30,248,39,13,78,4,382,10,0,0,62,682,754,1169,368,285,4131,787,6740,48,221,165,2177
101031015,55,1090,21,1285,0,0,0,0,0,0,4,0,0,10,0,14,6,4,0,0,0,10,36,10,6,9,0,61,201,97,76,991,24,1389,4,3,0,0,0,7,10,4,0,4,0,18,62,17,8,84,0,171,8,0,6,13,0,27,12,3,3,0,0,18,4,0,4,0,0,8,24,15,23,436,6,504,29,7,7,27,0,70,0,0,0,0,0,0,8,0,0,6,0,14,5,0,0,0,0,5,4,4,0,0,0,8,0,0,0,0,0,0,16,6,3,5,0,30,10,0,0,5,0,15,9,0,0,6,0,15,0,0,0,0,0,0,52,24,16,267,0,359,4,0,0,0,0,4,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,10,0,23,100,15,10,43,9,177,4,0,0,22,274,300,512,183,129,2143,323,3290,20,102,61,1149
